开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.065726, Y = 0.0021904, Z = -0.084959	
主轴转速: 5020	t = 314.6 s, 稳定, fc = NaN Hz, Xf = 0.0759, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.0488, Y = 0.022776, Z = 0.0038901	
主轴转速: 5020	t = 314.7 s, 稳定, fc = NaN Hz, Xf = 0.0757, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.010929, Y = 0.11127, Z = -0.12798	
主轴转速: 5027	t = 314.8 s, 稳定, fc = NaN Hz, Xf = 0.0779, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.11888, Y = 0.016868, Z = 0.01882	
主轴转速: 5027	t = 314.9 s, 稳定, fc = NaN Hz, Xf = 0.0793, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.11864, Y = 0.1427, Z = -0.09154	
主轴转速: 4966	t = 315.0 s, 稳定, fc = NaN Hz, Xf = 0.0785, n_new = NaN rpm, pass = 0.0008 s	
	采集数据: X = -0.04472, Y = -0.0026819, Z = 0.13393	
主轴转速: 4966	t = 315.1 s, 稳定, fc = NaN Hz, Xf = 0.0776, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.047826, Y = -0.081492, Z = 0.16306	
主轴转速: 5023	t = 315.2 s, 稳定, fc = NaN Hz, Xf = 0.0766, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.034918, Y = 0.021436, Z = 0.0061449	
主轴转速: 5023	t = 315.3 s, 稳定, fc = NaN Hz, Xf = 0.0764, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.15864, Y = -0.0018902, Z = 0.20938	
主轴转速: 5002	t = 315.4 s, 稳定, fc = NaN Hz, Xf = 0.0454, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.12795, Y = -0.017664, Z = -0.088067	
主轴转速: 4995	t = 315.5 s, 稳定, fc = NaN Hz, Xf = 0.0794, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.073337, Y = 0.0097425, Z = -0.15321	
主轴转速: 4995	t = 315.6 s, 稳定, fc = NaN Hz, Xf = 0.0775, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.0083717, Y = 0.041839, Z = -0.19654	
主轴转速: 4973	t = 315.7 s, 稳定, fc = NaN Hz, Xf = 0.0771, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.021523, Y = 0.069185, Z = 0.15532	
主轴转速: 4973	t = 315.8 s, 稳定, fc = NaN Hz, Xf = 0.0785, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.15809, Y = 0.1416, Z = -0.23182	
主轴转速: 5027	t = 315.9 s, 稳定, fc = NaN Hz, Xf = 0.0796, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.053123, Y = 0.018878, Z = 0.23113	
主轴转速: 5027	t = 316.0 s, 稳定, fc = NaN Hz, Xf = 0.0788, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.16722, Y = 0.052132, Z = 0.036066	
主轴转速: 5018	t = 316.1 s, 稳定, fc = NaN Hz, Xf = 0.0774, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.049409, Y = -0.088496, Z = 0.11181	
主轴转速: 5018	t = 316.2 s, 稳定, fc = NaN Hz, Xf = 0.0772, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.082409, Y = 0.12704, Z = -0.21762	
主轴转速: 4962	t = 316.3 s, 稳定, fc = NaN Hz, Xf = 0.0786, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.066578, Y = -0.11365, Z = 0.12632	
主轴转速: 4962	t = 316.4 s, 稳定, fc = NaN Hz, Xf = 0.0784, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.18762, Y = 0.13746, Z = -0.20623	
主轴转速: 4995	t = 316.5 s, 稳定, fc = NaN Hz, Xf = 0.0798, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.17368, Y = 0.019, Z = 0.065012	
主轴转速: 4995	t = 316.6 s, 稳定, fc = NaN Hz, Xf = 0.0797, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.061708, Y = 0.016077, Z = -0.022435	
主轴转速: 5025	t = 316.7 s, 稳定, fc = NaN Hz, Xf = 0.0791, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.03303, Y = -0.096109, Z = 0.27446	
主轴转速: 5025	t = 316.8 s, 稳定, fc = NaN Hz, Xf = 0.0782, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0003959, Y = 0.0648, Z = 0.10438	
主轴转速: 4969	t = 316.9 s, 稳定, fc = NaN Hz, Xf = 0.0785, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.17422, Y = 0.026613, Z = -0.16217	
主轴转速: 4992	t = 317.0 s, 稳定, fc = NaN Hz, Xf = 0.0780, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.2479, Y = -0.062734, Z = 0.12613	
主轴转速: 4992	t = 317.1 s, 稳定, fc = NaN Hz, Xf = 0.0758, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.14202, Y = 0.16608, Z = 0.078479	
主轴转速: 5004	t = 317.2 s, 稳定, fc = NaN Hz, Xf = 0.1206, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.050383, Y = -0.031672, Z = -0.33286	
主轴转速: 5004	t = 317.3 s, 稳定, fc = NaN Hz, Xf = 0.0747, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.059272, Y = -0.36141, Z = 0.21492	
主轴转速: 4955	t = 317.4 s, 稳定, fc = NaN Hz, Xf = 0.0741, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.30702, Y = -0.34856, Z = 0.28701	
主轴转速: 4955	t = 317.5 s, 稳定, fc = NaN Hz, Xf = 0.1189, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.070049, Y = -0.39375, Z = 0.037833	
