开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = -0.1137, Y = 0.097688, Z = -0.1381	
主轴转速: 3973	t = 278.8 s, 稳定, fc = NaN Hz, Xf = 0.0538, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = -0.059516, Y = -0.046168, Z = 0.18689	
主轴转速: 3973	t = 278.9 s, 稳定, fc = NaN Hz, Xf = 0.0523, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.08387, Y = 0.065348, Z = -0.17174	
主轴转速: 3994	t = 279.0 s, 稳定, fc = NaN Hz, Xf = 0.0523, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0064236, Y = -0.13972, Z = 0.24027	
主轴转速: 4020	t = 279.1 s, 稳定, fc = NaN Hz, Xf = 0.0536, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.012816, Y = 0.01967, Z = 0.10493	
主轴转速: 4020	t = 279.2 s, 稳定, fc = NaN Hz, Xf = 0.0522, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.092699, Y = 0.057492, Z = -0.20513	
主轴转速: 3991	t = 279.3 s, 稳定, fc = NaN Hz, Xf = 0.0520, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.083261, Y = -0.068824, Z = 0.16763	
主轴转速: 3991	t = 279.4 s, 稳定, fc = NaN Hz, Xf = 0.0513, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.031448, Y = 0.038063, Z = 0.14612	
主轴转速: 3977	t = 279.5 s, 稳定, fc = NaN Hz, Xf = 0.0529, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.13361, Y = 0.048295, Z = -0.027311	
主轴转速: 3977	t = 279.6 s, 稳定, fc = NaN Hz, Xf = 0.0526, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.037536, Y = 0.1631, Z = 0.10816	
主轴转速: 3998	t = 279.7 s, 稳定, fc = NaN Hz, Xf = 0.0528, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.020123, Y = 0.083741, Z = -0.28118	
主轴转速: 3998	t = 279.8 s, 稳定, fc = NaN Hz, Xf = 0.0486, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.061951, Y = 0.028745, Z = 0.22102	
主轴转速: 4022	t = 279.9 s, 稳定, fc = NaN Hz, Xf = 0.0485, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.051905, Y = 0.039768, Z = -0.014696	
主轴转速: 4022	t = 280.0 s, 稳定, fc = NaN Hz, Xf = 0.0516, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.20168, Y = 0.00688, Z = -0.20202	
主轴转速: 3982	t = 280.1 s, 稳定, fc = NaN Hz, Xf = 0.0530, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.059455, Y = -0.031002, Z = 0.16032	
主轴转速: 3982	t = 280.2 s, 稳定, fc = NaN Hz, Xf = 0.0520, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.014156, Y = 0.076311, Z = -0.058511	
主轴转速: 3977	t = 280.3 s, 稳定, fc = NaN Hz, Xf = 0.0523, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.081374, Y = -0.058897, Z = 0.082623	
主轴转速: 4017	t = 280.4 s, 稳定, fc = NaN Hz, Xf = 0.0536, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.11565, Y = 0.17662, Z = -0.0051288	
主轴转速: 4017	t = 280.5 s, 稳定, fc = NaN Hz, Xf = 0.0522, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.030351, Y = -0.045498, Z = -0.13109	
主轴转速: 4020	t = 280.6 s, 稳定, fc = NaN Hz, Xf = 0.0520, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.35457, Y = 0.053776, Z = 0.046974	
