开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.18902, Y = 0.087091, Z = -0.066921	
主轴转速: 10036	t = 345.8 s, 稳定, fc = NaN Hz, Xf = 0.0828, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.067005, Y = 0.06547, Z = 0.16367	
主轴转速: 9987	t = 345.9 s, 稳定, fc = NaN Hz, Xf = 0.0819, n_new = NaN rpm, pass = 0.0007 s	
	采集数据: X = 0.13885, Y = 0.13685, Z = -0.22963	
主轴转速: 9987	t = 346.0 s, 稳定, fc = NaN Hz, Xf = 0.0834, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.16552, Y = 0.14812, Z = -0.017378	
主轴转速: 10003	t = 346.1 s, 稳定, fc = NaN Hz, Xf = 0.0825, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.18074, Y = 0.022289, Z = 0.15965	
主轴转速: 10003	t = 346.2 s, 稳定, fc = NaN Hz, Xf = 0.0825, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.12442, Y = -0.064743, Z = 0.001026	
主轴转速: 10038	t = 346.3 s, 稳定, fc = NaN Hz, Xf = 0.0690, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.14835, Y = 0.11724, Z = -0.077524	
主轴转速: 9994	t = 346.4 s, 稳定, fc = NaN Hz, Xf = 0.0676, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.076138, Y = -0.0055445, Z = 0.11364	
主轴转速: 9994	t = 346.5 s, 稳定, fc = NaN Hz, Xf = 0.0832, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.085392, Y = -0.011148, Z = -0.28222	
主轴转速: 9902	t = 346.6 s, 稳定, fc = NaN Hz, Xf = 0.0823, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.0087979, Y = 0.14026, Z = 0.13771	
主轴转速: 9902	t = 346.7 s, 稳定, fc = NaN Hz, Xf = 0.0817, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.18226, Y = 0.011874, Z = 0.19475	
主轴转速: 9930	t = 346.8 s, 稳定, fc = NaN Hz, Xf = 0.0839, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.10019, Y = -0.06584, Z = -0.029931	
主轴转速: 9930	t = 346.9 s, 稳定, fc = NaN Hz, Xf = 0.0841, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.12631, Y = 0.073266, Z = 0.016992	
主轴转速: 9977	t = 347.0 s, 稳定, fc = NaN Hz, Xf = 0.0844, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.019575, Y = 0.012422, Z = 0.10218	
主轴转速: 9977	t = 347.1 s, 稳定, fc = NaN Hz, Xf = 0.0828, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.088619, Y = 0.11054, Z = -0.32725	
主轴转速: 9930	t = 347.2 s, 稳定, fc = NaN Hz, Xf = 0.0832, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.11517, Y = 0.17857, Z = 0.04734	
主轴转速: 9930	t = 347.3 s, 稳定, fc = NaN Hz, Xf = 0.0829, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.13422, Y = -0.043975, Z = 0.2237	
主轴转速: 9947	t = 347.4 s, 稳定, fc = NaN Hz, Xf = 0.0853, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.10731, Y = -0.074427, Z = -0.13286	
主轴转速: 9947	t = 347.5 s, 稳定, fc = NaN Hz, Xf = 0.0847, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.037414, Y = 0.13283, Z = -0.012137	
