开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.06664, Y = -0.034596, Z = 0.020039	
主轴转速: 2991	t = 156.5 s, 稳定, fc = NaN Hz, Xf = 0.0590, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.16972, Y = 0.054873, Z = -0.083131	
主轴转速: 2991	t = 156.6 s, 稳定, fc = NaN Hz, Xf = 0.0586, n_new = NaN rpm, pass = 0.0009 s	
	采集数据: X = -0.083079, Y = 0.046955, Z = 0.0030979	
主轴转速: 2984	t = 156.7 s, 稳定, fc = NaN Hz, Xf = 0.0599, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.0027096, Y = 0.09781, Z = -0.043642	
主轴转速: 2984	t = 156.8 s, 稳定, fc = NaN Hz, Xf = 0.0606, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.14287, Y = 0.019792, Z = -0.02664	
主轴转速: 3014	t = 156.9 s, 稳定, fc = NaN Hz, Xf = 0.0618, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.0013089, Y = -0.0067625, Z = 0.0016354	
主轴转速: 3014	t = 157.0 s, 稳定, fc = NaN Hz, Xf = 0.0610, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.043746, Y = 0.13271, Z = -0.03377	
主轴转速: 3021	t = 157.1 s, 稳定, fc = NaN Hz, Xf = 0.0598, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.047643, Y = 0.050305, Z = -0.026031	
主轴转速: 2988	t = 157.2 s, 稳定, fc = NaN Hz, Xf = 0.0614, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.13666, Y = 0.034226, Z = 0.173	
主轴转速: 2988	t = 157.3 s, 稳定, fc = NaN Hz, Xf = 0.0606, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.043442, Y = 0.094339, Z = 0.0058402	
主轴转速: 3021	t = 157.4 s, 稳定, fc = NaN Hz, Xf = 0.0611, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.055254, Y = -0.0055445, Z = -0.054185	
主轴转速: 3021	t = 157.5 s, 稳定, fc = NaN Hz, Xf = 0.0611, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.021036, Y = -0.051893, Z = 0.064159	
主轴转速: 2981	t = 157.6 s, 稳定, fc = NaN Hz, Xf = 0.0613, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.058298, Y = 0.10737, Z = -0.015306	
主轴转速: 2981	t = 157.7 s, 稳定, fc = NaN Hz, Xf = 0.0598, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.010807, Y = 0.050061, Z = 0.0091918	
主轴转速: 3000	t = 157.8 s, 稳定, fc = NaN Hz, Xf = 0.0622, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.024263, Y = 0.074606, Z = 0.087072	
主轴转速: 3000	t = 157.9 s, 稳定, fc = NaN Hz, Xf = 0.0606, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.11346, Y = 0.080818, Z = -0.12835	
主轴转速: 3000	t = 158.0 s, 稳定, fc = NaN Hz, Xf = 0.0320, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.089898, Y = -0.03289, Z = -0.092332	
主轴转速: 3000	t = 158.1 s, 稳定, fc = NaN Hz, Xf = 0.0352, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.053305, Y = 0.040073, Z = 0.073056	
主轴转速: 2998	t = 158.2 s, 稳定, fc = NaN Hz, Xf = 0.0319, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.096047, Y = 0.073266, Z = 0.0011479	
主轴转速: 2998	t = 158.3 s, 稳定, fc = NaN Hz, Xf = 0.0342, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.034187, Y = -0.035692, Z = 0.10858	
主轴转速: 3014	t = 158.4 s, 稳定, fc = NaN Hz, Xf = 0.0618, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.12387, Y = 0.30007, Z = -0.073929	
主轴转速: 3014	t = 158.5 s, 稳定, fc = NaN Hz, Xf = 0.1375, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.055254, Y = 0.55892, Z = -0.02859	
主轴转速: 2974	t = 158.6 s, 稳定, fc = NaN Hz, Xf = 0.0838, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.73054, Y = 0.10323, Z = 0.062209	
主轴转速: 2974	t = 158.7 s, 稳定, fc = NaN Hz, Xf = 0.1051, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.81079, Y = 0.45648, Z = -0.33164	
主轴转速: 2970	t = 158.8 s, 稳定, fc = NaN Hz, Xf = 0.0989, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -1.0126, Y = 0.44582, Z = -0.17228	
主轴转速: 2977	t = 158.9 s, 稳定, fc = NaN Hz, Xf = 0.0980, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.84202, Y = 0.35732, Z = -0.20592	
主轴转速: 2977	t = 159.0 s, 稳定, fc = NaN Hz, Xf = 0.0603, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.50477, Y = 0.28089, Z = -0.046324	
主轴转速: 2977	t = 159.1 s, 稳定, fc = NaN Hz, Xf = 0.0594, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.060977, Y = 0.12577, Z = 0.023147	
主轴转速: 2977	t = 159.2 s, 稳定, fc = NaN Hz, Xf = 0.0601, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.36114, Y = -0.073392, Z = -0.058572	
主轴转速: 2977	t = 159.3 s, 稳定, fc = NaN Hz, Xf = 0.0613, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.50605, Y = -0.18631, Z = 0.17184	
主轴转速: 2977	t = 159.4 s, 稳定, fc = NaN Hz, Xf = 0.0741, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.30135, Y = -0.34831, Z = 0.11261	
主轴转速: 2988	t = 159.5 s, 稳定, fc = NaN Hz, Xf = 0.0664, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.20515, Y = -0.056521, Z = -0.2111	
主轴转速: 2988	t = 159.6 s, 稳定, fc = NaN Hz, Xf = 0.0642, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.084479, Y = 0.012118, Z = -0.074173	
主轴转速: 2984	t = 159.7 s, 稳定, fc = NaN Hz, Xf = 0.0665, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.48359, Y = -0.09416, Z = 0.14259	
主轴转速: 2984	t = 159.8 s, 稳定, fc = NaN Hz, Xf = 0.0696, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.15176, Y = 0.33028, Z = -0.176	
主轴转速: 3021	t = 159.9 s, 稳定, fc = NaN Hz, Xf = 0.0753, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.12198, Y = -0.083746, Z = -0.052966	
主轴转速: 3021	t = 160.0 s, 稳定, fc = NaN Hz, Xf = 0.0680, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.20467, Y = 0.008159, Z = -0.095257	
主轴转速: 3026	t = 160.1 s, 稳定, fc = NaN Hz, Xf = 0.0868, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = 0.30026, Y = -0.26603, Z = 0.041611	
主轴转速: 3026	t = 160.2 s, 稳定, fc = NaN Hz, Xf = 0.0600, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.16369, Y = -0.16152, Z = 0.1435	
主轴转速: 3014	t = 160.3 s, 稳定, fc = NaN Hz, Xf = 0.0695, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.021341, Y = -0.018456, Z = -0.044008	
主轴转速: 2988	t = 160.4 s, 稳定, fc = NaN Hz, Xf = 0.0651, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.47305, Y = -0.10537, Z = -0.092942	
主轴转速: 2988	t = 160.5 s, 稳定, fc = NaN Hz, Xf = 0.0745, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.56834, Y = 0.19063, Z = -0.22877	
主轴转速: 3012	t = 160.6 s, 稳定, fc = NaN Hz, Xf = 0.0627, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.22372, Y = 0.15226, Z = -0.2242	
主轴转速: 3012	t = 160.7 s, 稳定, fc = NaN Hz, Xf = 0.0613, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.041006, Y = -0.0097468, Z = 0.053982	
主轴转速: 2998	t = 160.8 s, 稳定, fc = NaN Hz, Xf = 0.0610, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.36535, Y = -0.1779, Z = 0.18433	
主轴转速: 2998	t = 160.9 s, 稳定, fc = NaN Hz, Xf = 0.0684, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.50216, Y = -0.38614, Z = 0.19134	
主轴转速: 2979	t = 161.0 s, 稳定, fc = NaN Hz, Xf = 0.0673, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.63349, Y = -0.093003, Z = -0.057232	
主轴转速: 2979	t = 161.1 s, 稳定, fc = NaN Hz, Xf = 0.0600, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.14007, Y = 0.12662, Z = -0.13328	
