开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.066031, Y = 0.1969, Z = -0.2437	
主轴转速: 5018	t = 356.1 s, 稳定, fc = NaN Hz, Xf = 0.0775, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.021523, Y = 0.084838, Z = 0.036066	
主轴转速: 5018	t = 356.2 s, 稳定, fc = NaN Hz, Xf = 0.0775, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.089533, Y = -0.025217, Z = 0.099991	
主轴转速: 4964	t = 356.3 s, 稳定, fc = NaN Hz, Xf = 0.0755, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.030899, Y = -0.042331, Z = 0.022172	
主轴转速: 4964	t = 356.4 s, 稳定, fc = NaN Hz, Xf = 0.0770, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = -0.10439, Y = 0.019365, Z = 0.11291	
主轴转速: 4952	t = 356.5 s, 稳定, fc = NaN Hz, Xf = 0.0773, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.10658, Y = -0.092211, Z = -0.10202	
主轴转速: 5020	t = 356.6 s, 稳定, fc = NaN Hz, Xf = 0.0780, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.097996, Y = 0.031546, Z = -0.10294	
主轴转速: 5020	t = 356.7 s, 稳定, fc = NaN Hz, Xf = 0.0784, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.012816, Y = 0.034287, Z = -0.11756	
主轴转速: 4976	t = 356.8 s, 稳定, fc = NaN Hz, Xf = 0.0774, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.047034, Y = 0.10457, Z = -0.010796	
主轴转速: 4976	t = 356.9 s, 稳定, fc = NaN Hz, Xf = 0.0763, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.13763, Y = 0.065165, Z = -0.21433	
主轴转速: 4985	t = 357.0 s, 稳定, fc = NaN Hz, Xf = 0.0761, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.07084, Y = 0.003104, Z = 0.24734	
主轴转速: 4985	t = 357.1 s, 稳定, fc = NaN Hz, Xf = 0.0782, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.16479, Y = -0.016994, Z = 0.0076074	
