开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = -0.098544, Y = -0.08673, Z = 0.31675	
主轴转速: 5970	t = 159.3 s, 稳定, fc = NaN Hz, Xf = 0.0871, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.15304, Y = -0.16426, Z = -0.61677	
主轴转速: 5991	t = 159.4 s, 稳定, fc = NaN Hz, Xf = 0.0916, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.41771, Y = 0.4717, Z = -0.47326	
主轴转速: 5991	t = 159.5 s, 稳定, fc = NaN Hz, Xf = 0.1015, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.029134, Y = 0.13935, Z = -0.3509	
主轴转速: 5958	t = 159.6 s, 颤振, fc = 1610.00 Hz, Xf = 0.1897, n_new = 6037.50 rpm, pass = 0.0036 s	
	采集数据: X = 0.70174, Y = 0.53321, Z = -0.29946	
主轴转速: 5958	t = 159.7 s, 颤振, fc = 310.00 Hz, Xf = 0.1834, n_new = 6200.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.68548, Y = 0.96064, Z = -0.2306	
主轴转速: 5962	t = 159.8 s, 颤振, fc = 310.00 Hz, Xf = 0.2244, n_new = 6200.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.59245, Y = 0.42761, Z = -0.16186	
主轴转速: 5962	t = 159.9 s, 颤振, fc = 310.00 Hz, Xf = 0.1999, n_new = 6200.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.12661, Y = -0.20683, Z = -0.093368	
主轴转速: 5958	t = 160.0 s, 颤振, fc = 310.00 Hz, Xf = 0.1561, n_new = 6200.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.25392, Y = -0.20056, Z = -0.051016	
主轴转速: 5958	t = 160.1 s, 稳定, fc = NaN Hz, Xf = 0.0950, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.19328, Y = 0.37852, Z = -0.17704	
主轴转速: 5955	t = 160.2 s, 稳定, fc = NaN Hz, Xf = 0.0914, n_new = NaN rpm, pass = 0.0003 s	
