开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = -0.066944, Y = -0.0039609, Z = 0.11358	
主轴转速: 2986	t = 287.5 s, 稳定, fc = NaN Hz, Xf = 0.0592, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.098422, Y = 0.044032, Z = -0.066982	
主轴转速: 2986	t = 287.6 s, 稳定, fc = NaN Hz, Xf = 0.0586, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.07973, Y = 0.065653, Z = -0.055952	
主轴转速: 2993	t = 287.7 s, 稳定, fc = NaN Hz, Xf = 0.0585, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.020366, Y = -0.042087, Z = 0.08829	
主轴转速: 2993	t = 287.8 s, 稳定, fc = NaN Hz, Xf = 0.0584, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.12156, Y = 0.032094, Z = -0.0015334	
主轴转速: 2986	t = 287.9 s, 稳定, fc = NaN Hz, Xf = 0.0573, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.086915, Y = -0.068337, Z = -0.043581	
主轴转速: 2986	t = 288.0 s, 稳定, fc = NaN Hz, Xf = 0.0588, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.073337, Y = 0.030755, Z = 0.1042	
主轴转速: 3000	t = 288.1 s, 稳定, fc = NaN Hz, Xf = 0.0574, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.061647, Y = 0.090623, Z = 0.039052	
主轴转速: 3000	t = 288.2 s, 稳定, fc = NaN Hz, Xf = 0.0330, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.095134, Y = 0.033861, Z = -0.10617	
主轴转速: 3019	t = 288.3 s, 稳定, fc = NaN Hz, Xf = 0.0319, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.071023, Y = -0.025886, Z = 0.08634	
主轴转速: 3021	t = 288.4 s, 稳定, fc = NaN Hz, Xf = 0.0608, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.028281, Y = -0.019552, Z = 0.0065714	
主轴转速: 3021	t = 288.5 s, 稳定, fc = NaN Hz, Xf = 0.0612, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.02061, Y = -0.026191, Z = 0.0068761	
主轴转速: 2977	t = 288.6 s, 稳定, fc = NaN Hz, Xf = 0.0586, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.047034, Y = 0.0097425, Z = 0.16166	
主轴转速: 2977	t = 288.7 s, 稳定, fc = NaN Hz, Xf = 0.0598, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0025878, Y = 0.015468, Z = 0.0025495	
主轴转速: 2991	t = 288.8 s, 稳定, fc = NaN Hz, Xf = 0.0609, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.03571, Y = 0.030267, Z = -0.077768	
主轴转速: 2991	t = 288.9 s, 稳定, fc = NaN Hz, Xf = 0.0597, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.064082, Y = 0.03587, Z = 0.065865	
主轴转速: 2998	t = 289.0 s, 稳定, fc = NaN Hz, Xf = 0.0605, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.013365, Y = 0.015163, Z = -0.060035	
主轴转速: 2998	t = 289.1 s, 稳定, fc = NaN Hz, Xf = 0.0604, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.039241, Y = -0.069433, Z = -0.038219	
主轴转速: 2984	t = 289.2 s, 稳定, fc = NaN Hz, Xf = 0.0585, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.051114, Y = 0.016625, Z = 0.088169	
主轴转速: 2984	t = 289.3 s, 稳定, fc = NaN Hz, Xf = 0.0611, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.026577, Y = 0.036723, Z = 0.00078224	
主轴转速: 2984	t = 289.4 s, 稳定, fc = NaN Hz, Xf = 0.0608, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0172, Y = -0.064683, Z = -0.016403	
主轴转速: 2984	t = 289.5 s, 稳定, fc = NaN Hz, Xf = 0.0615, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.050383, Y = 0.005601, Z = -0.018109	
主轴转速: 2998	t = 289.6 s, 稳定, fc = NaN Hz, Xf = 0.0611, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.03023, Y = 0.033434, Z = -0.18179	
主轴转速: 2998	t = 289.7 s, 稳定, fc = NaN Hz, Xf = 0.0605, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.081617, Y = -0.074975, Z = -0.049188	
主轴转速: 3002	t = 289.8 s, 稳定, fc = NaN Hz, Xf = 0.0596, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.04813, Y = 0.046468, Z = 0.11273	
主轴转速: 3002	t = 289.9 s, 稳定, fc = NaN Hz, Xf = 0.0626, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.0077628, Y = 0.073509, Z = -0.041022	
主轴转速: 3021	t = 290.0 s, 稳定, fc = NaN Hz, Xf = 0.0593, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.07352, Y = 0.010169, Z = -0.018109	
主轴转速: 3009	t = 290.1 s, 稳定, fc = NaN Hz, Xf = 0.0605, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.045878, Y = 0.05536, Z = 0.11126	
主轴转速: 3009	t = 290.2 s, 稳定, fc = NaN Hz, Xf = 0.0593, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.029621, Y = 0.13624, Z = 0.15557	
主轴转速: 2951	t = 290.3 s, 稳定, fc = NaN Hz, Xf = 0.0604, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.10049, Y = -0.07126, Z = 0.22991	
主轴转速: 2951	t = 290.4 s, 稳定, fc = NaN Hz, Xf = 0.0601, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.014461, Y = -0.015228, Z = 0.20115	
主轴转速: 2960	t = 290.5 s, 稳定, fc = NaN Hz, Xf = 0.0619, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.0042317, Y = 0.11145, Z = 0.026986	
主轴转速: 2960	t = 290.6 s, 稳定, fc = NaN Hz, Xf = 0.1221, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.15614, Y = -0.03283, Z = 0.05386	
主轴转速: 2998	t = 290.7 s, 稳定, fc = NaN Hz, Xf = 0.1214, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.11407, Y = 0.13246, Z = -0.085873	
主轴转速: 2998	t = 290.8 s, 稳定, fc = NaN Hz, Xf = 0.0661, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = 0.091055, Y = -0.15969, Z = 0.062635	
主轴转速: 2981	t = 290.9 s, 颤振, fc = 280.00 Hz, Xf = 0.4694, n_new = 3360.00 rpm, pass = 0.0024 s	
	采集数据: X = -0.26227, Y = 0.2857, Z = 0.15587	
主轴转速: 2981	t = 291.0 s, 颤振, fc = 280.00 Hz, Xf = 0.3524, n_new = 3360.00 rpm, pass = 0.0004 s	
	采集数据: X = -0.016287, Y = -0.04635, Z = 0.11565	
主轴转速: 2986	t = 291.1 s, 颤振, fc = 290.00 Hz, Xf = 0.3178, n_new = 3480.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.41819, Y = -0.069372, Z = -0.088432	
主轴转速: 2986	t = 291.2 s, 颤振, fc = 290.00 Hz, Xf = 0.3417, n_new = 3480.00 rpm, pass = 0.0004 s	
	采集数据: X = -0.43975, Y = 0.56884, Z = -0.21811	
