开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.18732, Y = 0.15938, Z = -0.24011	
主轴转速: 9002	t = 82.2 s, 稳定, fc = NaN Hz, Xf = 0.0875, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.20747, Y = -0.046716, Z = 0.26209	
主轴转速: 9002	t = 82.3 s, 稳定, fc = NaN Hz, Xf = 0.0881, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.04673, Y = 0.18094, Z = 0.1616	
主轴转速: 8937	t = 82.4 s, 稳定, fc = NaN Hz, Xf = 0.0879, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.012573, Y = 0.073753, Z = -0.22579	
主轴转速: 8937	t = 82.5 s, 稳定, fc = NaN Hz, Xf = 0.0875, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.078939, Y = -0.069311, Z = -0.060705	
主轴转速: 9042	t = 82.6 s, 稳定, fc = NaN Hz, Xf = 0.0873, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.15852, Y = -0.058836, Z = 0.18768	
主轴转速: 9042	t = 82.7 s, 稳定, fc = NaN Hz, Xf = 0.0869, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.16503, Y = 0.039707, Z = 0.026011	
主轴转速: 8953	t = 82.8 s, 稳定, fc = NaN Hz, Xf = 0.0859, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.0061801, Y = 0.049696, Z = -0.32488	
主轴转速: 8953	t = 82.9 s, 稳定, fc = NaN Hz, Xf = 0.0864, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.098726, Y = -0.056217, Z = 0.18963	
主轴转速: 8955	t = 83.0 s, 稳定, fc = NaN Hz, Xf = 0.0878, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.16801, Y = 0.19708, Z = 0.24582	
主轴转速: 8955	t = 83.1 s, 稳定, fc = NaN Hz, Xf = 0.0850, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.25021, Y = -0.084964, Z = -0.012259	
主轴转速: 8993	t = 83.2 s, 稳定, fc = NaN Hz, Xf = 0.0860, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.10956, Y = -0.025947, Z = -0.0081758	
主轴转速: 8993	t = 83.3 s, 稳定, fc = NaN Hz, Xf = 0.0870, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.0085546, Y = 0.01224, Z = -0.070394	
主轴转速: 8930	t = 83.4 s, 稳定, fc = NaN Hz, Xf = 0.0868, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.16582, Y = 0.063095, Z = -0.19885	
主轴转速: 8930	t = 83.5 s, 稳定, fc = NaN Hz, Xf = 0.0869, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.24753, Y = -0.10068, Z = 0.053129	
主轴转速: 9019	t = 83.6 s, 稳定, fc = NaN Hz, Xf = 0.0864, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.12606, Y = 0.096409, Z = 0.11468	
主轴转速: 8946	t = 83.7 s, 稳定, fc = NaN Hz, Xf = 0.0867, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.11048, Y = 0.16901, Z = -0.17137	
主轴转速: 8946	t = 83.8 s, 稳定, fc = NaN Hz, Xf = 0.0880, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.072484, Y = -0.1642, Z = 0.023512	
主轴转速: 8937	t = 83.9 s, 稳定, fc = NaN Hz, Xf = 0.0868, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.040702, Y = -0.05914, Z = 0.17842	
主轴转速: 8937	t = 84.0 s, 稳定, fc = NaN Hz, Xf = 0.0872, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.1352, Y = 0.01358, Z = -0.23219	
主轴转速: 9040	t = 84.1 s, 稳定, fc = NaN Hz, Xf = 0.0884, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.19657, Y = 0.12503, Z = -0.22079	
主轴转速: 9040	t = 84.2 s, 稳定, fc = NaN Hz, Xf = 0.0885, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.17088, Y = -0.074975, Z = 0.26556	
主轴转速: 9000	t = 84.3 s, 稳定, fc = NaN Hz, Xf = 0.0882, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.0053882, Y = 0.26566, Z = 0.20694	
主轴转速: 9000	t = 84.4 s, 稳定, fc = NaN Hz, Xf = 0.0872, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.052514, Y = -0.038433, Z = -0.38612	
主轴转速: 8904	t = 84.5 s, 稳定, fc = NaN Hz, Xf = 0.0889, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.062438, Y = -0.067484, Z = -0.097329	
主轴转速: 8904	t = 84.6 s, 稳定, fc = NaN Hz, Xf = 0.0867, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.11121, Y = 0.31682, Z = -0.028468	
主轴转速: 9028	t = 84.7 s, 稳定, fc = NaN Hz, Xf = 0.1223, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.16132, Y = -0.48334, Z = 0.32443	
主轴转速: 9028	t = 84.8 s, 颤振, fc = 1810.00 Hz, Xf = 0.1873, n_new = 9050.00 rpm, pass = 0.0022 s	
	采集数据: X = 0.06871, Y = -0.44552, Z = 0.53381	
