开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.035953, Y = 0.0271, Z = 0.052032	
主轴转速: 2981	t = 91.1 s, 稳定, fc = NaN Hz, Xf = 0.0608, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.087402, Y = 0.015894, Z = -0.15821	
主轴转速: 2981	t = 91.2 s, 稳定, fc = NaN Hz, Xf = 0.0606, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.12704, Y = -0.015533, Z = 0.011934	
主轴转速: 3021	t = 91.3 s, 稳定, fc = NaN Hz, Xf = 0.0623, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.036136, Y = 0.11316, Z = -0.17661	
主轴转速: 3021	t = 91.4 s, 稳定, fc = NaN Hz, Xf = 0.0614, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.044842, Y = -0.062307, Z = -0.17308	
主轴转速: 3019	t = 91.5 s, 稳定, fc = NaN Hz, Xf = 0.0601, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.006058, Y = -0.058166, Z = 0.098955	
主轴转速: 3019	t = 91.6 s, 稳定, fc = NaN Hz, Xf = 0.0618, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.057202, Y = 0.058588, Z = 0.09085	
主轴转速: 2984	t = 91.7 s, 稳定, fc = NaN Hz, Xf = 0.0603, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.19901, Y = 0.022106, Z = -0.14145	
主轴转速: 2984	t = 91.8 s, 稳定, fc = NaN Hz, Xf = 0.0603, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.0048406, Y = -0.0070671, Z = -0.052539	
主轴转速: 2998	t = 91.9 s, 稳定, fc = NaN Hz, Xf = 0.0614, n_new = NaN rpm, pass = 0.0007 s	
	采集数据: X = -0.013425, Y = 0.086482, Z = -0.20952	
主轴转速: 2998	t = 92.0 s, 稳定, fc = NaN Hz, Xf = 0.0601, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.12278, Y = -0.11986, Z = -0.17497	
主轴转速: 3000	t = 92.1 s, 稳定, fc = NaN Hz, Xf = 0.0627, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.039119, Y = -0.02881, Z = 0.11724	
主轴转速: 3000	t = 92.2 s, 稳定, fc = NaN Hz, Xf = 0.0354, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.053245, Y = 0.088065, Z = -0.031759	
主轴转速: 3016	t = 92.3 s, 稳定, fc = NaN Hz, Xf = 0.0319, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = 0.14506, Y = 0.044641, Z = -0.13078	
主轴转速: 2995	t = 92.4 s, 稳定, fc = NaN Hz, Xf = 0.0621, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.068709, Y = 0.11395, Z = -0.13731	
主轴转速: 2995	t = 92.5 s, 稳定, fc = NaN Hz, Xf = 0.0612, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.028829, Y = -0.0044482, Z = -0.17009	
主轴转速: 2988	t = 92.6 s, 稳定, fc = NaN Hz, Xf = 0.0607, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.13367, Y = -0.064683, Z = 0.020831	
主轴转速: 2988	t = 92.7 s, 稳定, fc = NaN Hz, Xf = 0.0616, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.050688, Y = -0.0042046, Z = 0.11139	
主轴转速: 2993	t = 92.8 s, 稳定, fc = NaN Hz, Xf = 0.0622, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.27968, Y = 0.26292, Z = -0.30044	
主轴转速: 2993	t = 92.9 s, 稳定, fc = NaN Hz, Xf = 0.0911, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.81456, Y = 0.21018, Z = -0.039803	
