开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.015435, Y = 0.044702, Z = 0.044049	
主轴转速: 7966	t = 334.8 s, 颤振, fc = 540.00 Hz, Xf = 0.1677, n_new = 8100.00 rpm, pass = 0.0004 s	
	采集数据: X = -0.1025, Y = -0.064317, Z = 0.048497	
主轴转速: 7966	t = 334.9 s, 颤振, fc = 540.00 Hz, Xf = 0.1649, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.34921, Y = -0.10926, Z = 0.2457	
主轴转速: 7966	t = 335.0 s, 颤振, fc = 540.00 Hz, Xf = 0.1669, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.15864, Y = -0.011148, Z = -0.13158	
主轴转速: 7966	t = 335.1 s, 颤振, fc = 540.00 Hz, Xf = 0.1605, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.24564, Y = -0.01401, Z = -0.092576	
主轴转速: 7920	t = 335.2 s, 颤振, fc = 540.00 Hz, Xf = 0.1642, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.14299, Y = -0.094708, Z = 0.057212	
主轴转速: 8006	t = 335.3 s, 颤振, fc = 540.00 Hz, Xf = 0.1638, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.30367, Y = -0.15689, Z = 0.21157	
主轴转速: 8006	t = 335.4 s, 稳定, fc = NaN Hz, Xf = 0.0573, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.23517, Y = 0.028623, Z = -0.28453	
主轴转速: 8002	t = 335.5 s, 稳定, fc = NaN Hz, Xf = 0.0562, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.24443, Y = 0.11614, Z = -0.33779	
主轴转速: 8002	t = 335.6 s, 稳定, fc = NaN Hz, Xf = 0.0581, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.15084, Y = -0.11803, Z = -0.1289	
主轴转速: 8044	t = 335.7 s, 稳定, fc = NaN Hz, Xf = 0.0572, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.15024, Y = -0.029723, Z = 0.097919	
主轴转速: 8044	t = 335.8 s, 稳定, fc = NaN Hz, Xf = 0.1062, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.25721, Y = 0.047199, Z = -0.27393	
主轴转速: 7943	t = 335.9 s, 稳定, fc = NaN Hz, Xf = 0.0921, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.22659, Y = 0.17802, Z = -0.12256	
主轴转速: 7943	t = 336.0 s, 颤振, fc = 540.00 Hz, Xf = 0.1613, n_new = 8100.00 rpm, pass = 0.0003 s	
