开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = -0.15736, Y = 0.091476, Z = 0.17952	
主轴转速: 7945	t = 72.2 s, 颤振, fc = 540.00 Hz, Xf = 0.1895, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.10183, Y = 0.0099252, Z = 0.36337	
主轴转速: 7945	t = 72.3 s, 颤振, fc = 540.00 Hz, Xf = 0.1931, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.15651, Y = 0.012483, Z = 0.28342	
主轴转速: 7969	t = 72.4 s, 颤振, fc = 540.00 Hz, Xf = 0.1920, n_new = 8100.00 rpm, pass = 0.0005 s	
	采集数据: X = 0.033274, Y = 0.073083, Z = -0.030236	
主轴转速: 7969	t = 72.5 s, 颤振, fc = 540.00 Hz, Xf = 0.1911, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.092151, Y = -0.11048, Z = -0.027189	
主轴转速: 7959	t = 72.6 s, 颤振, fc = 540.00 Hz, Xf = 0.1888, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.41789, Y = 0.074301, Z = 0.20785	
主轴转速: 7959	t = 72.7 s, 颤振, fc = 540.00 Hz, Xf = 0.1891, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.082166, Y = -0.18393, Z = 0.068485	
主轴转速: 8037	t = 72.8 s, 颤振, fc = 540.00 Hz, Xf = 0.1854, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.063108, Y = 0.07424, Z = 0.054226	
主轴转速: 8037	t = 72.9 s, 稳定, fc = NaN Hz, Xf = 0.1006, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.10835, Y = -0.13771, Z = 0.25161	
主轴转速: 7995	t = 73.0 s, 稳定, fc = NaN Hz, Xf = 0.1008, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.42118, Y = -0.035266, Z = 0.22467	
主轴转速: 8037	t = 73.1 s, 颤振, fc = 540.00 Hz, Xf = 0.1869, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.041067, Y = 0.059258, Z = -0.35583	
主轴转速: 8037	t = 73.2 s, 稳定, fc = NaN Hz, Xf = 0.0987, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.18384, Y = -0.11743, Z = -0.067287	
主轴转速: 7950	t = 73.3 s, 稳定, fc = NaN Hz, Xf = 0.1039, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.17502, Y = -0.14739, Z = 0.1109	
主轴转速: 7950	t = 73.4 s, 颤振, fc = 540.00 Hz, Xf = 0.1821, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.36516, Y = -0.034718, Z = -0.17302	
主轴转速: 7995	t = 73.5 s, 颤振, fc = 540.00 Hz, Xf = 0.1855, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.08795, Y = 0.015163, Z = -0.30208	
主轴转速: 7995	t = 73.6 s, 颤振, fc = 540.00 Hz, Xf = 0.1839, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.22981, Y = -0.099215, Z = -0.15358	
主轴转速: 8011	t = 73.7 s, 颤振, fc = 540.00 Hz, Xf = 0.1851, n_new = 8100.00 rpm, pass = 0.0002 s	
