开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.18451, Y = 0.087761, Z = 0.097309	
主轴转速: 6005	t = 321.4 s, 稳定, fc = NaN Hz, Xf = 0.0847, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.045329, Y = 0.13106, Z = -0.059669	
主轴转速: 6005	t = 321.5 s, 稳定, fc = NaN Hz, Xf = 0.0455, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.16655, Y = -0.08673, Z = 0.061295	
主轴转速: 5967	t = 321.6 s, 稳定, fc = NaN Hz, Xf = 0.0469, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.072911, Y = 0.15329, Z = -0.033526	
主轴转速: 5967	t = 321.7 s, 稳定, fc = NaN Hz, Xf = 0.0844, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.088984, Y = -0.039712, Z = 0.18665	
主轴转速: 6030	t = 321.8 s, 稳定, fc = NaN Hz, Xf = 0.0909, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0086155, Y = 0.12601, Z = -0.20403	
主轴转速: 5944	t = 321.9 s, 稳定, fc = NaN Hz, Xf = 0.0844, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.093673, Y = -0.098058, Z = 0.18055	
主轴转速: 5944	t = 322.0 s, 稳定, fc = NaN Hz, Xf = 0.0871, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.001431, Y = -0.027714, Z = 0.032714	
主轴转速: 5958	t = 322.1 s, 稳定, fc = NaN Hz, Xf = 0.0898, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.088863, Y = 0.060963, Z = 0.4056	
主轴转速: 5958	t = 322.2 s, 稳定, fc = NaN Hz, Xf = 0.0856, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.067796, Y = -0.055364, Z = -0.19885	
主轴转速: 6035	t = 322.3 s, 稳定, fc = NaN Hz, Xf = 0.0902, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.17063, Y = 0.057796, Z = -0.082948	
主轴转速: 6035	t = 322.4 s, 稳定, fc = NaN Hz, Xf = 0.0853, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.14926, Y = -0.055242, Z = -0.26491	
主轴转速: 5986	t = 322.5 s, 稳定, fc = NaN Hz, Xf = 0.0887, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.062256, Y = -0.068885, Z = 0.14716	
主轴转速: 5986	t = 322.6 s, 稳定, fc = NaN Hz, Xf = 0.0892, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.25532, Y = 0.096166, Z = -0.05973	
主轴转速: 5970	t = 322.7 s, 稳定, fc = NaN Hz, Xf = 0.0866, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.027551, Y = 0.14075, Z = -0.11579	
主轴转速: 5970	t = 322.8 s, 稳定, fc = NaN Hz, Xf = 0.0916, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.18859, Y = -0.08137, Z = 0.051971	
主轴转速: 5981	t = 322.9 s, 稳定, fc = NaN Hz, Xf = 0.0866, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.077294, Y = 0.13466, Z = -0.0077492	
主轴转速: 5981	t = 323.0 s, 稳定, fc = NaN Hz, Xf = 0.0905, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.076077, Y = -0.0268, Z = 0.18689	
主轴转速: 6023	t = 323.1 s, 稳定, fc = NaN Hz, Xf = 0.0899, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.14841, Y = 0.18789, Z = -0.15742	
主轴转速: 6023	t = 323.2 s, 稳定, fc = NaN Hz, Xf = 0.0868, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.15237, Y = -0.023633, Z = 0.03375	
主轴转速: 5953	t = 323.3 s, 稳定, fc = NaN Hz, Xf = 0.0922, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.051844, Y = -0.04434, Z = 0.011812	
主轴转速: 5953	t = 323.4 s, 稳定, fc = NaN Hz, Xf = 0.0852, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.065726, Y = 0.090014, Z = 0.40682	
主轴转速: 5953	t = 323.5 s, 稳定, fc = NaN Hz, Xf = 0.0909, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.0050838, Y = 0.059928, Z = -0.15309	
主轴转速: 6030	t = 323.6 s, 稳定, fc = NaN Hz, Xf = 0.0882, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.12412, Y = -0.10908, Z = -0.011649	
主轴转速: 6030	t = 323.7 s, 稳定, fc = NaN Hz, Xf = 0.0934, n_new = NaN rpm, pass = 0.0006 s	
	采集数据: X = -0.017992, Y = 0.021497, Z = -0.26503	
主轴转速: 5967	t = 323.8 s, 稳定, fc = NaN Hz, Xf = 0.0870, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.023289, Y = -0.098363, Z = 0.17001	
主轴转速: 5967	t = 323.9 s, 稳定, fc = NaN Hz, Xf = 0.0905, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.22896, Y = 0.061328, Z = -0.21915	
主轴转速: 6028	t = 324.0 s, 稳定, fc = NaN Hz, Xf = 0.0892, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.070049, Y = 0.15841, Z = -0.2782	
主轴转速: 6028	t = 324.1 s, 稳定, fc = NaN Hz, Xf = 0.0887, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.10981, Y = -0.034169, Z = -0.41641	
主轴转速: 5979	t = 324.2 s, 稳定, fc = NaN Hz, Xf = 0.0934, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.23572, Y = -0.22681, Z = 0.04411	
主轴转速: 5979	t = 324.3 s, 稳定, fc = NaN Hz, Xf = 0.0909, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.41819, Y = 0.085751, Z = 0.27038	
主轴转速: 5993	t = 324.4 s, 稳定, fc = NaN Hz, Xf = 0.0911, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.086366, Y = 0.31311, Z = -0.22085	
主轴转速: 5993	t = 324.5 s, 稳定, fc = NaN Hz, Xf = 0.0938, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.23511, Y = 0.27407, Z = -0.10574	
主轴转速: 5946	t = 324.6 s, 稳定, fc = NaN Hz, Xf = 0.0917, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.13148, Y = 0.13192, Z = -0.10367	
主轴转速: 5979	t = 324.7 s, 稳定, fc = NaN Hz, Xf = 0.1436, n_new = NaN rpm, pass = 0.0007 s	
	采集数据: X = -0.052757, Y = -0.20141, Z = 0.026864	
主轴转速: 5979	t = 324.8 s, 颤振, fc = 570.00 Hz, Xf = 0.1587, n_new = 6840.00 rpm, pass = 0.0029 s	
	采集数据: X = -0.13982, Y = -0.077412, Z = 0.12491	
主轴转速: 5986	t = 324.9 s, 稳定, fc = NaN Hz, Xf = 0.1204, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.28759, Y = -0.020771, Z = 0.31882	
主轴转速: 5986	t = 325.0 s, 稳定, fc = NaN Hz, Xf = 0.1314, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.54222, Y = 0.19063, Z = 0.063671	
主轴转速: 6030	t = 325.1 s, 稳定, fc = NaN Hz, Xf = 0.1271, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.18774, Y = 0.11084, Z = -0.11116	
主轴转速: 6030	t = 325.2 s, 稳定, fc = NaN Hz, Xf = 0.1214, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = 0.29825, Y = 0.16669, Z = -0.13621	
