开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = -0.24181, Y = -0.007737, Z = 0.25788	
主轴转速: 6987	t = 75.8 s, 稳定, fc = NaN Hz, Xf = 0.0652, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.33673, Y = -0.087704, Z = -0.22427	
主轴转速: 6949	t = 75.9 s, 稳定, fc = NaN Hz, Xf = 0.0704, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.012329, Y = 0.21414, Z = -0.11793	
主轴转速: 6949	t = 76.0 s, 颤振, fc = 470.00 Hz, Xf = 0.1638, n_new = 7050.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.27828, Y = -0.01736, Z = 0.26611	
主轴转速: 6956	t = 76.1 s, 颤振, fc = 470.00 Hz, Xf = 0.1643, n_new = 7050.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.069623, Y = 0.11992, Z = -0.34779	
主轴转速: 6956	t = 76.2 s, 颤振, fc = 470.00 Hz, Xf = 0.1642, n_new = 7050.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.026759, Y = 0.071439, Z = 0.18159	
主轴转速: 7036	t = 76.3 s, 颤振, fc = 470.00 Hz, Xf = 0.1649, n_new = 7050.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.11547, Y = -0.042331, Z = -0.14559	
主轴转速: 7036	t = 76.4 s, 稳定, fc = NaN Hz, Xf = 0.0647, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.087645, Y = 0.096714, Z = -0.24523	
主轴转速: 7038	t = 76.5 s, 稳定, fc = NaN Hz, Xf = 0.0687, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.1302, Y = -0.037397, Z = 0.18701	
主轴转速: 7038	t = 76.6 s, 稳定, fc = NaN Hz, Xf = 0.0676, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.010138, Y = 0.10226, Z = -0.20891	
主轴转速: 6970	t = 76.7 s, 稳定, fc = NaN Hz, Xf = 0.0629, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.084479, Y = -0.0023165, Z = 0.048985	
主轴转速: 6970	t = 76.8 s, 稳定, fc = NaN Hz, Xf = 0.0666, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.10591, Y = -0.014863, Z = 0.2112	
主轴转速: 6987	t = 76.9 s, 稳定, fc = NaN Hz, Xf = 0.0713, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.15438, Y = 0.089588, Z = -0.21238	
主轴转速: 6987	t = 77.0 s, 稳定, fc = NaN Hz, Xf = 0.0718, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.040459, Y = 0.015894, Z = 0.19451	
主轴转速: 7043	t = 77.1 s, 稳定, fc = NaN Hz, Xf = 0.0684, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.34939, Y = 0.89998, Z = -0.45175	
主轴转速: 7043	t = 77.2 s, 稳定, fc = NaN Hz, Xf = 0.1143, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.83197, Y = 0.86466, Z = -0.0034835	
主轴转速: 6956	t = 77.3 s, 颤振, fc = 1400.00 Hz, Xf = 0.2474, n_new = 7636.36 rpm, pass = 0.0003 s	
	采集数据: X = 0.41345, Y = -0.055364, Z = 0.27263	
主轴转速: 6980	t = 77.4 s, 颤振, fc = 360.00 Hz, Xf = 0.2610, n_new = 7200.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.77285, Y = -0.11639, Z = -0.13304	
主轴转速: 6980	t = 77.5 s, 颤振, fc = 360.00 Hz, Xf = 0.1614, n_new = 7200.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.50855, Y = -0.18795, Z = 0.89488	
主轴转速: 6961	t = 77.6 s, 颤振, fc = 1410.00 Hz, Xf = 0.2102, n_new = 7050.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.74156, Y = -0.055425, Z = -0.84718	
主轴转速: 6961	t = 77.7 s, 稳定, fc = NaN Hz, Xf = 0.1436, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.16375, Y = -0.043061, Z = 0.062879	
主轴转速: 7031	t = 77.8 s, 稳定, fc = NaN Hz, Xf = 0.1386, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.16856, Y = 0.37864, Z = -0.075757	
主轴转速: 7031	t = 77.9 s, 稳定, fc = NaN Hz, Xf = 0.1251, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.36121, Y = 0.26907, Z = -0.50879	
主轴转速: 7029	t = 78.0 s, 稳定, fc = NaN Hz, Xf = 0.1002, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.0025875, Y = -0.17955, Z = 0.046121	
主轴转速: 7029	t = 78.1 s, 稳定, fc = NaN Hz, Xf = 0.1217, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.24467, Y = 0.0046875, Z = -0.15632	
主轴转速: 6933	t = 78.2 s, 稳定, fc = NaN Hz, Xf = 0.0978, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.13794, Y = 0.43973, Z = -0.13755	
主轴转速: 6933	t = 78.3 s, 稳定, fc = NaN Hz, Xf = 0.1117, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.36662, Y = 0.065896, Z = -0.25193	
主轴转速: 6926	t = 78.4 s, 稳定, fc = NaN Hz, Xf = 0.1241, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.10025, Y = 0.11346, Z = -0.081729	
主轴转速: 6926	t = 78.5 s, 稳定, fc = NaN Hz, Xf = 0.1021, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.24997, Y = 0.13734, Z = 0.089936	
主轴转速: 7022	t = 78.6 s, 稳定, fc = NaN Hz, Xf = 0.1219, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.28498, Y = 0.075458, Z = 0.54649	
主轴转速: 7038	t = 78.7 s, 稳定, fc = NaN Hz, Xf = 0.0938, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.17593, Y = -0.16676, Z = 0.0013307	
主轴转速: 7038	t = 78.8 s, 稳定, fc = NaN Hz, Xf = 0.0987, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.22226, Y = 0.012727, Z = -0.61184	
主轴转速: 6952	t = 78.9 s, 稳定, fc = NaN Hz, Xf = 0.0986, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.152, Y = 0.44277, Z = -0.041387	
主轴转速: 6952	t = 79.0 s, 稳定, fc = NaN Hz, Xf = 0.1081, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.56943, Y = -1.0169, Z = 0.73101	
主轴转速: 6982	t = 79.1 s, 稳定, fc = NaN Hz, Xf = 0.0991, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.29399, Y = 0.13715, Z = -0.014087	
主轴转速: 6982	t = 79.2 s, 稳定, fc = NaN Hz, Xf = 0.1027, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.3953, Y = 0.060476, Z = -0.091662	
主轴转速: 6959	t = 79.3 s, 稳定, fc = NaN Hz, Xf = 0.1164, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.1439, Y = 0.07223, Z = 0.071593	
