开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.17508, Y = -0.0056663, Z = -0.14754	
主轴转速: 7985	t = 170.8 s, 颤振, fc = 540.00 Hz, Xf = 0.1631, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.059333, Y = -0.0028647, Z = -0.24931	
主轴转速: 7985	t = 170.9 s, 颤振, fc = 540.00 Hz, Xf = 0.1698, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.055558, Y = 0.10323, Z = -0.051077	
主轴转速: 7995	t = 171.0 s, 颤振, fc = 540.00 Hz, Xf = 0.1695, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.1562, Y = 0.11432, Z = 0.20267	
主轴转速: 7995	t = 171.1 s, 颤振, fc = 540.00 Hz, Xf = 0.1700, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.10488, Y = 0.1715, Z = -0.042606	
主轴转速: 7955	t = 171.2 s, 颤振, fc = 540.00 Hz, Xf = 0.1682, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.18397, Y = -0.008407, Z = -0.12762	
主轴转速: 7950	t = 171.3 s, 颤振, fc = 540.00 Hz, Xf = 0.1691, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.13751, Y = 0.074545, Z = -0.042119	
主轴转速: 7950	t = 171.4 s, 颤振, fc = 540.00 Hz, Xf = 0.1664, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.08314, Y = -0.030881, Z = 0.37653	
主轴转速: 8046	t = 171.5 s, 颤振, fc = 540.00 Hz, Xf = 0.1695, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.012147, Y = 0.21383, Z = 0.16318	
主轴转速: 8046	t = 171.6 s, 稳定, fc = NaN Hz, Xf = 0.1068, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.057689, Y = 0.13119, Z = 0.033567	
主轴转速: 7962	t = 171.7 s, 稳定, fc = NaN Hz, Xf = 0.1091, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.092577, Y = -0.0054835, Z = -0.017317	
主轴转速: 7962	t = 171.8 s, 颤振, fc = 540.00 Hz, Xf = 0.1681, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.24029, Y = 0.020888, Z = 0.24192	
主轴转速: 7997	t = 171.9 s, 颤振, fc = 540.00 Hz, Xf = 0.1679, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.13428, Y = -0.15841, Z = 0.202	
主轴转速: 7997	t = 172.0 s, 颤振, fc = 540.00 Hz, Xf = 0.1670, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.11322, Y = 0.18643, Z = 0.06879	
主轴转速: 8051	t = 172.1 s, 颤振, fc = 540.00 Hz, Xf = 0.1693, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.0026484, Y = -0.024912, Z = 0.082136	
主轴转速: 8051	t = 172.2 s, 稳定, fc = NaN Hz, Xf = 0.1079, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.43214, Y = -0.042574, Z = 0.23796	
主轴转速: 7990	t = 172.3 s, 稳定, fc = NaN Hz, Xf = 0.1090, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.037049, Y = -0.14751, Z = -0.10879	
主轴转速: 7990	t = 172.4 s, 颤振, fc = 540.00 Hz, Xf = 0.1654, n_new = 8100.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.16972, Y = -0.0030474, Z = 0.084086	
主轴转速: 7980	t = 172.5 s, 颤振, fc = 540.00 Hz, Xf = 0.1658, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.2633, Y = -0.18138, Z = 0.084512	
主轴转速: 7980	t = 172.6 s, 颤振, fc = 540.00 Hz, Xf = 0.1628, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.38696, Y = -0.031977, Z = 0.050143	
主轴转速: 7980	t = 172.7 s, 颤振, fc = 540.00 Hz, Xf = 0.1601, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.002344, Y = -0.035509, Z = -0.24285	
主轴转速: 7941	t = 172.8 s, 颤振, fc = 540.00 Hz, Xf = 0.1649, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.16253, Y = -0.045924, Z = -0.17685	
主轴转速: 7941	t = 172.9 s, 颤振, fc = 540.00 Hz, Xf = 0.1664, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.10335, Y = -0.058836, Z = 0.052763	
主轴转速: 7980	t = 173.0 s, 颤振, fc = 540.00 Hz, Xf = 0.1648, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.26963, Y = -0.075767, Z = 0.13046	
主轴转速: 7980	t = 173.1 s, 颤振, fc = 540.00 Hz, Xf = 0.1672, n_new = 8100.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.5989, Y = 1.0976, Z = -1.21	
主轴转速: 8027	t = 173.2 s, 颤振, fc = 1610.00 Hz, Xf = 0.2319, n_new = 8050.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.95959, Y = -0.44692, Z = -0.26759	
主轴转速: 8027	t = 173.3 s, 颤振, fc = 1610.00 Hz, Xf = 0.2970, n_new = 8050.00 rpm, pass = 0.0002 s	
	采集数据: X = -0.33113, Y = -0.29746, Z = 0.19384	
主轴转速: 7969	t = 173.4 s, 颤振, fc = 410.00 Hz, Xf = 0.2802, n_new = 8200.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.33825, Y = -0.54899, Z = 0.7031	
主轴转速: 7969	t = 173.5 s, 颤振, fc = 410.00 Hz, Xf = 0.2787, n_new = 8200.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.67209, Y = 1.1057, Z = -0.19684	
主轴转速: 7936	t = 173.6 s, 颤振, fc = 410.00 Hz, Xf = 0.2108, n_new = 8200.00 rpm, pass = 0.0002 s	
	采集数据: X = 0.32437, Y = 0.54814, Z = -0.43901	
主轴转速: 7936	t = 173.7 s, 颤振, fc = 410.00 Hz, Xf = 0.1703, n_new = 8200.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.17386, Y = -1.1711, Z = 0.63412	
主轴转速: 7971	t = 173.8 s, 稳定, fc = NaN Hz, Xf = 0.1135, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.34069, Y = 0.011143, Z = -0.056805	
主轴转速: 7971	t = 173.9 s, 稳定, fc = NaN Hz, Xf = 0.1414, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.16984, Y = 0.1486, Z = 0.084573	
主轴转速: 8048	t = 174.0 s, 稳定, fc = NaN Hz, Xf = 0.1216, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.098422, Y = -0.15037, Z = 0.3329	
主轴转速: 8048	t = 174.1 s, 稳定, fc = NaN Hz, Xf = 0.1179, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.15438, Y = -0.4387, Z = 0.041246	
主轴转速: 7990	t = 174.2 s, 稳定, fc = NaN Hz, Xf = 0.1061, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.32199, Y = 0.027953, Z = 0.0039511	
主轴转速: 7990	t = 174.3 s, 稳定, fc = NaN Hz, Xf = 0.1049, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.61772, Y = -0.39491, Z = 0.27117	
主轴转速: 7971	t = 174.4 s, 稳定, fc = NaN Hz, Xf = 0.1098, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.32857, Y = -0.095805, Z = -0.017987	
主轴转速: 8002	t = 174.5 s, 稳定, fc = NaN Hz, Xf = 0.1056, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.28211, Y = 0.54795, Z = -0.37168	
主轴转速: 8002	t = 174.6 s, 稳定, fc = NaN Hz, Xf = 0.1136, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.21173, Y = -1.1761, Z = 1.011	
主轴转速: 8044	t = 174.7 s, 稳定, fc = NaN Hz, Xf = 0.1051, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.29076, Y = -0.53937, Z = 0.060502	
主轴转速: 8044	t = 174.8 s, 稳定, fc = NaN Hz, Xf = 0.1080, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.22592, Y = 0.12272, Z = -0.18703	
主轴转速: 7948	t = 174.9 s, 稳定, fc = NaN Hz, Xf = 0.1024, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.35073, Y = -0.087034, Z = 0.2151	
主轴转速: 7948	t = 175.0 s, 稳定, fc = NaN Hz, Xf = 0.1059, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.1257, Y = 0.23271, Z = 0.12181	
主轴转速: 7980	t = 175.1 s, 稳定, fc = NaN Hz, Xf = 0.1069, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.0049012, Y = -0.035327, Z = -0.017134	
主轴转速: 7980	t = 175.2 s, 稳定, fc = NaN Hz, Xf = 0.1060, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.058785, Y = 0.01157, Z = 0.016383	
主轴转速: 7978	t = 175.3 s, 稳定, fc = NaN Hz, Xf = 0.1009, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.48529, Y = 0.013214, Z = -0.23176	
主轴转速: 7978	t = 175.4 s, 稳定, fc = NaN Hz, Xf = 0.1059, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.23468, Y = 0.34861, Z = -0.17685	
主轴转速: 8034	t = 175.5 s, 稳定, fc = NaN Hz, Xf = 0.1070, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.078573, Y = -0.15263, Z = -0.060766	
主轴转速: 8034	t = 175.6 s, 稳定, fc = NaN Hz, Xf = 0.1068, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.073337, Y = 0.98372, Z = -0.62183	
主轴转速: 7969	t = 175.7 s, 稳定, fc = NaN Hz, Xf = 0.0996, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.13124, Y = 0.24118, Z = -0.043094	
主轴转速: 7964	t = 175.8 s, 稳定, fc = NaN Hz, Xf = 0.1068, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.14695, Y = -0.1829, Z = -0.0088461	
主轴转速: 7964	t = 175.9 s, 稳定, fc = NaN Hz, Xf = 0.1010, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.25058, Y = -0.29301, Z = -0.10775	
主轴转速: 7950	t = 176.0 s, 稳定, fc = NaN Hz, Xf = 0.1063, n_new = NaN rpm, pass = 0.0003 s	
