开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = -0.12369, Y = -0.0075543, Z = 0.065499	
主轴转速: 2984	t = 124.4 s, 稳定, fc = NaN Hz, Xf = 0.0607, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.056776, Y = -0.040382, Z = -0.033344	
主轴转速: 2981	t = 124.5 s, 稳定, fc = NaN Hz, Xf = 0.0612, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.049409, Y = -0.092089, Z = 0.034847	
主轴转速: 2981	t = 124.6 s, 稳定, fc = NaN Hz, Xf = 0.0608, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.083566, Y = 0.0032258, Z = 0.04996	
主轴转速: 2981	t = 124.7 s, 稳定, fc = NaN Hz, Xf = 0.0610, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.031934, Y = 0.039951, Z = -0.030906	
主轴转速: 2981	t = 124.8 s, 稳定, fc = NaN Hz, Xf = 0.0603, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.046669, Y = -0.058105, Z = 0.021501	
主轴转速: 2991	t = 124.9 s, 稳定, fc = NaN Hz, Xf = 0.0604, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.052514, Y = -0.013097, Z = 0.0065714	
主轴转速: 2988	t = 125.0 s, 稳定, fc = NaN Hz, Xf = 0.0614, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.078208, Y = -0.020101, Z = -0.1746	
主轴转速: 2988	t = 125.1 s, 稳定, fc = NaN Hz, Xf = 0.0604, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.092151, Y = -0.042087, Z = 0.002062	
主轴转速: 2988	t = 125.2 s, 稳定, fc = NaN Hz, Xf = 0.0598, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.064082, Y = 0.003713, Z = 0.082867	
主轴转速: 2988	t = 125.3 s, 稳定, fc = NaN Hz, Xf = 0.0621, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.032361, Y = 0.092511, Z = -0.057232	
主轴转速: 2974	t = 125.4 s, 稳定, fc = NaN Hz, Xf = 0.0607, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.03845, Y = -0.029663, Z = 0.0046823	
