开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = -0.081313, Y = -0.096353, Z = 0.15666	
主轴转速: 6961	t = 238.4 s, 稳定, fc = NaN Hz, Xf = 0.0655, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.18397, Y = 0.043423, Z = -0.22835	
主轴转速: 6961	t = 238.5 s, 稳定, fc = NaN Hz, Xf = 0.1454, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.037841, Y = 0.010595, Z = 0.185	
主轴转速: 6980	t = 238.6 s, 稳定, fc = NaN Hz, Xf = 0.1431, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.16046, Y = -0.077351, Z = -0.11939	
主轴转速: 7022	t = 238.7 s, 稳定, fc = NaN Hz, Xf = 0.0588, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.11444, Y = 0.072718, Z = -0.067043	
主轴转速: 7022	t = 238.8 s, 稳定, fc = NaN Hz, Xf = 0.0681, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.012999, Y = -0.14039, Z = 0.020526	
主轴转速: 6954	t = 238.9 s, 稳定, fc = NaN Hz, Xf = 0.0701, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.22439, Y = 0.061694, Z = -0.0048241	
主轴转速: 6954	t = 239.0 s, 稳定, fc = NaN Hz, Xf = 0.1437, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.018905, Y = -0.0091378, Z = 0.056785	
主轴转速: 7031	t = 239.1 s, 稳定, fc = NaN Hz, Xf = 0.1434, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.24832, Y = -0.02004, Z = 0.0396	
主轴转速: 7031	t = 239.2 s, 稳定, fc = NaN Hz, Xf = 0.0651, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.059333, Y = 0.12351, Z = 0.024427	
主轴转速: 6966	t = 239.3 s, 稳定, fc = NaN Hz, Xf = 0.0593, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.12351, Y = -0.042879, Z = -0.023593	
主轴转速: 6966	t = 239.4 s, 稳定, fc = NaN Hz, Xf = 0.0680, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.13855, Y = 0.11097, Z = 0.084329	
主轴转速: 6991	t = 239.5 s, 稳定, fc = NaN Hz, Xf = 0.0669, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.027795, Y = -0.011513, Z = -0.037792	
主轴转速: 6991	t = 239.6 s, 稳定, fc = NaN Hz, Xf = 0.0621, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.083505, Y = 0.045859, Z = -0.041936	
主轴转速: 6963	t = 239.7 s, 稳定, fc = NaN Hz, Xf = 0.0646, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.012451, Y = -0.029602, Z = 0.15995	
主轴转速: 6963	t = 239.8 s, 稳定, fc = NaN Hz, Xf = 0.0596, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.058055, Y = 0.047077, Z = -0.26686	
主轴转速: 6980	t = 239.9 s, 稳定, fc = NaN Hz, Xf = 0.0657, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.070597, Y = 0.031485, Z = 0.2187	
主轴转速: 6980	t = 240.0 s, 稳定, fc = NaN Hz, Xf = 0.0616, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.056167, Y = -0.0062144, Z = -0.094892	
主轴转速: 6961	t = 240.1 s, 稳定, fc = NaN Hz, Xf = 0.0674, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.084966, Y = 0.11724, Z = -0.037244	
主轴转速: 6942	t = 240.2 s, 稳定, fc = NaN Hz, Xf = 0.0659, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.034674, Y = -0.073514, Z = 0.15965	
主轴转速: 6942	t = 240.3 s, 稳定, fc = NaN Hz, Xf = 0.1383, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.11297, Y = 0.17351, Z = -0.17003	
主轴转速: 7041	t = 240.4 s, 稳定, fc = NaN Hz, Xf = 0.1370, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.2275, Y = -0.097693, Z = 0.26087	
主轴转速: 7041	t = 240.5 s, 稳定, fc = NaN Hz, Xf = 0.1405, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.13398, Y = 0.13192, Z = -0.20464	
主轴转速: 6984	t = 240.6 s, 稳定, fc = NaN Hz, Xf = 0.0672, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.12539, Y = 0.068576, Z = 0.26136	
主轴转速: 6984	t = 240.7 s, 稳定, fc = NaN Hz, Xf = 0.0648, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.17836, Y = -0.039285, Z = -0.04998	
主轴转速: 6961	t = 240.8 s, 稳定, fc = NaN Hz, Xf = 0.0599, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.20716, Y = 0.13563, Z = 0.074945	
主轴转速: 6961	t = 240.9 s, 稳定, fc = NaN Hz, Xf = 0.0652, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.22786, Y = -0.019004, Z = 0.1964	
主轴转速: 6945	t = 241.0 s, 稳定, fc = NaN Hz, Xf = 0.0589, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.15237, Y = 0.066688, Z = -0.30178	
主轴转速: 6945	t = 241.1 s, 稳定, fc = NaN Hz, Xf = 0.1388, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.068405, Y = 0.1712, Z = 0.26958	
主轴转速: 7029	t = 241.2 s, 稳定, fc = NaN Hz, Xf = 0.1393, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.18701, Y = 0.067602, Z = -0.2055	
主轴转速: 7029	t = 241.3 s, 颤振, fc = 1060.00 Hz, Xf = 0.1785, n_new = 7066.67 rpm, pass = 0.0020 s	
	采集数据: X = -0.15815, Y = -0.0028647, Z = 0.44058	
主轴转速: 6945	t = 241.4 s, 颤振, fc = 1060.00 Hz, Xf = 0.1597, n_new = 7066.67 rpm, pass = 0.0002 s	
	采集数据: X = 0.24497, Y = -0.64114, Z = 0.046425	
主轴转速: 6980	t = 241.5 s, 颤振, fc = 360.00 Hz, Xf = 0.1533, n_new = 7200.00 rpm, pass = 0.0003 s	
	采集数据: X = 0.68688, Y = 0.60727, Z = -1.0698	
主轴转速: 6980	t = 241.6 s, 颤振, fc = 360.00 Hz, Xf = 0.1732, n_new = 7200.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.012634, Y = 0.45136, Z = -0.31378	
主轴转速: 6938	t = 241.7 s, 颤振, fc = 360.00 Hz, Xf = 0.1932, n_new = 7200.00 rpm, pass = 0.0003 s	
	采集数据: X = -0.48383, Y = 0.13874, Z = -0.095745	
主轴转速: 6938	t = 241.8 s, 颤振, fc = 1650.00 Hz, Xf = 0.1757, n_new = 7071.43 rpm, pass = 0.0003 s	
	采集数据: X = -0.058663, Y = -0.0099296, Z = 0.2616	
主轴转速: 6984	t = 241.9 s, 稳定, fc = NaN Hz, Xf = 0.0774, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.28784, Y = 0.26377, Z = -0.29898	
主轴转速: 6984	t = 242.0 s, 稳定, fc = NaN Hz, Xf = 0.0801, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.08728, Y = 0.29812, Z = 0.022355	
主轴转速: 6959	t = 242.1 s, 稳定, fc = NaN Hz, Xf = 0.0850, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.32973, Y = 0.25214, Z = 0.23064	
主轴转速: 6959	t = 242.2 s, 稳定, fc = NaN Hz, Xf = 0.0769, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.0031966, Y = 0.21115, Z = -0.26832	
主轴转速: 6987	t = 242.3 s, 稳定, fc = NaN Hz, Xf = 0.0873, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.11182, Y = 0.077346, Z = 0.42016	
主轴转速: 6987	t = 242.4 s, 稳定, fc = NaN Hz, Xf = 0.0781, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.018905, Y = 0.33619, Z = -0.41013	
主轴转速: 7038	t = 242.5 s, 稳定, fc = NaN Hz, Xf = 0.0814, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.3648, Y = 0.1804, Z = 0.071654	
主轴转速: 7038	t = 242.6 s, 稳定, fc = NaN Hz, Xf = 0.0818, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.037354, Y = 0.022898, Z = 0.14947	
主轴转速: 6949	t = 242.7 s, 稳定, fc = NaN Hz, Xf = 0.0730, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.087402, Y = 0.25829, Z = -0.011954	
主轴转速: 6987	t = 242.8 s, 稳定, fc = NaN Hz, Xf = 0.0781, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.14086, Y = -0.18405, Z = 0.062818	
主轴转速: 6987	t = 242.9 s, 稳定, fc = NaN Hz, Xf = 0.0661, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.32394, Y = 0.29167, Z = -0.1821	
主轴转速: 6968	t = 243.0 s, 稳定, fc = NaN Hz, Xf = 0.0663, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.16144, Y = -0.061089, Z = 0.18835	
主轴转速: 6968	t = 243.1 s, 稳定, fc = NaN Hz, Xf = 0.0785, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.34464, Y = -0.028079, Z = -0.27332	
主轴转速: 6977	t = 243.2 s, 稳定, fc = NaN Hz, Xf = 0.0789, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.12095, Y = 0.036601, Z = 0.163	
主轴转速: 6977	t = 243.3 s, 稳定, fc = NaN Hz, Xf = 0.0796, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.21307, Y = 0.0093771, Z = 0.084817	
主轴转速: 6968	t = 243.4 s, 稳定, fc = NaN Hz, Xf = 0.0769, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.21538, Y = 0.13715, Z = -0.16881	
主轴转速: 6968	t = 243.5 s, 稳定, fc = NaN Hz, Xf = 0.0840, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.25526, Y = -0.025034, Z = 0.39701	
主轴转速: 7034	t = 243.6 s, 稳定, fc = NaN Hz, Xf = 0.0738, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.2043, Y = -0.19447, Z = -0.24206	
主轴转速: 7034	t = 243.7 s, 稳定, fc = NaN Hz, Xf = 0.0785, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.060186, Y = 0.080879, Z = 0.44704	
主轴转速: 6970	t = 243.8 s, 稳定, fc = NaN Hz, Xf = 0.0754, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.13751, Y = -0.26963, Z = -0.098914	
主轴转速: 6970	t = 243.9 s, 稳定, fc = NaN Hz, Xf = 0.0776, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.43993, Y = -0.04294, Z = 0.048924	
主轴转速: 6980	t = 244.0 s, 稳定, fc = NaN Hz, Xf = 0.0749, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.2577, Y = -0.18235, Z = 0.21114	
