开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.20942, Y = 0.19032, Z = -0.051016	
主轴转速: 8993	t = 312.3 s, 稳定, fc = NaN Hz, Xf = 0.0873, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.037901, Y = -0.14471, Z = 0.0031589	
主轴转速: 8993	t = 312.4 s, 稳定, fc = NaN Hz, Xf = 0.0874, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.094647, Y = -0.081614, Z = -0.025361	
主轴转速: 8941	t = 312.5 s, 稳定, fc = NaN Hz, Xf = 0.0862, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.071815, Y = -0.00079391, Z = -0.34249	
主轴转速: 8941	t = 312.6 s, 稳定, fc = NaN Hz, Xf = 0.0877, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.14171, Y = 0.17814, Z = -0.27369	
主轴转速: 8960	t = 312.7 s, 稳定, fc = NaN Hz, Xf = 0.0869, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.21441, Y = -0.10518, Z = 0.31261	
主轴转速: 8960	t = 312.8 s, 稳定, fc = NaN Hz, Xf = 0.0887, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.030961, Y = 0.080026, Z = 0.15807	
主轴转速: 8946	t = 312.9 s, 稳定, fc = NaN Hz, Xf = 0.0864, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.11937, Y = -0.023329, Z = -0.2356	
主轴转速: 8991	t = 313.0 s, 稳定, fc = NaN Hz, Xf = 0.0871, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.14725, Y = -0.082101, Z = -0.062411	
主轴转速: 8991	t = 313.1 s, 稳定, fc = NaN Hz, Xf = 0.0877, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.081435, Y = 0.070403, Z = 0.067876	
主轴转速: 8934	t = 313.2 s, 稳定, fc = NaN Hz, Xf = 0.0876, n_new = NaN rpm, pass = 0.0003 s	
