开始记录spindle数据...	开始记录accel数据...	
	采集数据: X = 0.0031358, Y = 0.11894, Z = -0.10629	
主轴转速: 2993	t = 58.4 s, 稳定, fc = NaN Hz, Xf = 0.0608, n_new = NaN rpm, pass = 0.0005 s	
	采集数据: X = -0.076077, Y = 0.013153, Z = -0.082338	
主轴转速: 3021	t = 58.5 s, 稳定, fc = NaN Hz, Xf = 0.0621, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.041068, Y = -0.015411, Z = 0.067328	
主轴转速: 3021	t = 58.6 s, 稳定, fc = NaN Hz, Xf = 0.0611, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.048191, Y = 0.097932, Z = -0.065824	
主轴转速: 2979	t = 58.7 s, 稳定, fc = NaN Hz, Xf = 0.0605, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.14768, Y = 0.036236, Z = -0.042302	
主轴转速: 2979	t = 58.8 s, 稳定, fc = NaN Hz, Xf = 0.0624, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.10481, Y = 0.061694, Z = 0.13917	
主轴转速: 2988	t = 58.9 s, 稳定, fc = NaN Hz, Xf = 0.0589, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.066031, Y = 0.082949, Z = -0.042058	
主轴转速: 2988	t = 59.0 s, 稳定, fc = NaN Hz, Xf = 0.0604, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.08454, Y = 0.00066779, Z = -0.0095774	
主轴转速: 2998	t = 59.1 s, 稳定, fc = NaN Hz, Xf = 0.0611, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.049774, Y = 0.001825, Z = 0.061538	
主轴转速: 2995	t = 59.2 s, 稳定, fc = NaN Hz, Xf = 0.0615, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.022984, Y = 0.10707, Z = -0.04998	
主轴转速: 2995	t = 59.3 s, 稳定, fc = NaN Hz, Xf = 0.0603, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.023167, Y = 0.043727, Z = 0.0062058	
主轴转速: 3002	t = 59.4 s, 稳定, fc = NaN Hz, Xf = 0.0614, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.076442, Y = 0.046468, Z = 0.094933	
主轴转速: 3002	t = 59.5 s, 稳定, fc = NaN Hz, Xf = 0.0594, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.094525, Y = 0.064191, Z = -0.10708	
主轴转速: 2991	t = 59.6 s, 稳定, fc = NaN Hz, Xf = 0.0591, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.11188, Y = -0.0093205, Z = -0.051564	
主轴转速: 2991	t = 59.7 s, 稳定, fc = NaN Hz, Xf = 0.0606, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.035831, Y = 0.01632, Z = 0.14058	
主轴转速: 3005	t = 59.8 s, 稳定, fc = NaN Hz, Xf = 0.0603, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.029012, Y = 0.06681, Z = -0.074965	
主轴转速: 3005	t = 59.9 s, 稳定, fc = NaN Hz, Xf = 0.0611, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = -0.050505, Y = 0.0095598, Z = 0.11961	
主轴转速: 2986	t = 60.0 s, 稳定, fc = NaN Hz, Xf = 0.0610, n_new = NaN rpm, pass = 0.0004 s	
	采集数据: X = 0.050688, Y = 0.095009, Z = 0.066657	
主轴转速: 2986	t = 60.1 s, 稳定, fc = NaN Hz, Xf = 0.0617, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.65029, Y = 0.22266, Z = 0.25807	
主轴转速: 3019	t = 60.2 s, 颤振, fc = 160.00 Hz, Xf = 0.1611, n_new = 3200.00 rpm, pass = 0.0029 s	
	采集数据: X = -0.70326, Y = 0.17845, Z = -0.024873	
主轴转速: 3019	t = 60.3 s, 稳定, fc = NaN Hz, Xf = 0.0827, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.095621, Y = -0.028627, Z = -0.02012	
