开始记录数据...	开始记录数据...	
主轴数据: 5025	采集数据: X = 0.033031, Y = -0.057618, Z = -0.23548	
主轴数据: 5025	t = 6.2 s, 稳定, fc = NaN Hz, Xf = 0.0924, n_new = NaN rpm, pass = 0.0010 s	
主轴数据: 5030	采集数据: X = 0.1453, Y = -0.00024578, Z = 0.027352	
主轴数据: 5030	t = 6.3 s, 稳定, fc = NaN Hz, Xf = 0.0930, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5009	采集数据: X = 0.010503, Y = 0.17339, Z = -0.087396	
主轴数据: 5009	t = 6.4 s, 稳定, fc = NaN Hz, Xf = 0.0911, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5004	采集数据: X = -0.12838, Y = -0.077168, Z = 0.20956	
主轴数据: 5018	t = 6.5 s, 稳定, fc = NaN Hz, Xf = 0.0929, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5018	采集数据: X = 0.095134, Y = -0.025947, Z = 0.064524	
主轴数据: 4997	t = 6.6 s, 稳定, fc = NaN Hz, Xf = 0.0916, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 4997	采集数据: X = -0.076625, Y = -0.10695, Z = -0.14596	
主轴数据: 5016	t = 6.7 s, 稳定, fc = NaN Hz, Xf = 0.0661, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5016	采集数据: X = -0.28211, Y = 0.081366, Z = 0.12534	
主轴数据: 5002	t = 6.8 s, 稳定, fc = NaN Hz, Xf = 0.0655, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5002	采集数据: X = -0.18177, Y = -0.062429, Z = -0.15516	
主轴数据: 5011	t = 6.9 s, 稳定, fc = NaN Hz, Xf = 0.0515, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5011	采集数据: X = 0.22208, Y = 0.0034694, Z = 0.04283	
主轴数据: 4992	t = 7.0 s, 稳定, fc = NaN Hz, Xf = 0.0933, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4992	采集数据: X = 0.070354, Y = 0.17991, Z = -0.12274	
主轴数据: 4992	t = 7.1 s, 稳定, fc = NaN Hz, Xf = 0.0928, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4992	采集数据: X = -0.10944, Y = 0.10311, Z = 0.16946	
主轴数据: 5023	t = 7.2 s, 稳定, fc = NaN Hz, Xf = 0.0938, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5023	采集数据: X = 0.08868, Y = 0.027344, Z = -0.18423	
主轴数据: 5023	t = 7.3 s, 稳定, fc = NaN Hz, Xf = 0.0941, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4978	采集数据: X = -0.19919, Y = -0.10896, Z = 0.12638	
主轴数据: 4978	t = 7.4 s, 稳定, fc = NaN Hz, Xf = 0.0925, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 5020	采集数据: X = -0.1959, Y = 0.10512, Z = 0.06099	
主轴数据: 5020	t = 7.5 s, 稳定, fc = NaN Hz, Xf = 0.0934, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5009	采集数据: X = -0.27249, Y = -0.10177, Z = 0.019186	
主轴数据: 5009	t = 7.6 s, 稳定, fc = NaN Hz, Xf = 0.0784, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5002	采集数据: X = 0.015191, Y = 0.10268, Z = -0.19623	
主轴数据: 5002	t = 7.7 s, 稳定, fc = NaN Hz, Xf = 0.0768, n_new = NaN rpm, pass = 0.0003 s	
