开始记录数据...	开始记录数据...	
主轴数据: 5025	采集数据: X = 0.21624, Y = 0.012483, Z = 0.036553	
主轴数据: 5025	t = 6.3 s, 稳定, fc = NaN Hz, Xf = 0.0954, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5004	采集数据: X = 0.11322, Y = 0.15262, Z = -0.14766	
主轴数据: 5004	t = 6.4 s, 稳定, fc = NaN Hz, Xf = 0.0936, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5025	采集数据: X = -0.13392, Y = 0.023141, Z = 0.16507	
主轴数据: 5025	t = 6.5 s, 稳定, fc = NaN Hz, Xf = 0.0547, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4990	采集数据: X = 0.14902, Y = 0.043544, Z = 0.031435	
主轴数据: 4990	t = 6.6 s, 稳定, fc = NaN Hz, Xf = 0.0526, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5020	采集数据: X = -0.10816, Y = -0.14471, Z = -0.093551	
主轴数据: 5020	t = 6.7 s, 稳定, fc = NaN Hz, Xf = 0.0954, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5025	采集数据: X = -0.22616, Y = -0.010539, Z = 0.19402	
主轴数据: 5025	t = 6.8 s, 稳定, fc = NaN Hz, Xf = 0.0959, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5016	采集数据: X = -0.11261, Y = -0.11621, Z = -0.098609	
主轴数据: 5016	t = 6.9 s, 稳定, fc = NaN Hz, Xf = 0.0960, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4995	采集数据: X = 0.1229, Y = -0.0084679, Z = -0.078743	
主轴数据: 5013	t = 7.0 s, 稳定, fc = NaN Hz, Xf = 0.0966, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5013	采集数据: X = 0.057629, Y = 0.049696, Z = -0.10982	
主轴数据: 5018	t = 7.1 s, 稳定, fc = NaN Hz, Xf = 0.0952, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5018	采集数据: X = -0.10463, Y = 0.059623, Z = 0.13259	
主轴数据: 5002	t = 7.2 s, 稳定, fc = NaN Hz, Xf = 0.0957, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5002	采集数据: X = 0.15602, Y = 0.070038, Z = -0.13682	
主轴数据: 4997	t = 7.3 s, 稳定, fc = NaN Hz, Xf = 0.0961, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4997	采集数据: X = -0.21636, Y = -0.11877, Z = 0.15148	
主轴数据: 4995	t = 7.4 s, 稳定, fc = NaN Hz, Xf = 0.0941, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4995	采集数据: X = -0.26306, Y = 0.039525, Z = 0.031983	
主轴数据: 5020	t = 7.5 s, 稳定, fc = NaN Hz, Xf = 0.0954, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5020	采集数据: X = -0.18792, Y = -0.10366, Z = 0.032775	
主轴数据: 4976	t = 7.6 s, 稳定, fc = NaN Hz, Xf = 0.0944, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 4976	采集数据: X = 0.091603, Y = 0.063826, Z = -0.14748	
主轴数据: 4969	t = 7.7 s, 稳定, fc = NaN Hz, Xf = 0.0949, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 4971	采集数据: X = 0.00021324, Y = 0.051584, Z = -0.18843	
主轴数据: 4971	t = 7.8 s, 稳定, fc = NaN Hz, Xf = 0.0938, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5032	采集数据: X = 0.015252, Y = 0.18429, Z = 0.16184	
主轴数据: 5032	t = 7.9 s, 稳定, fc = NaN Hz, Xf = 0.0943, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5020	采集数据: X = 0.25125, Y = 0.12753, Z = -0.25425	
主轴数据: 5020	t = 8.0 s, 稳定, fc = NaN Hz, Xf = 0.0941, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 4992	采集数据: X = -0.12454, Y = 0.080452, Z = 0.32595	
主轴数据: 4992	t = 8.1 s, 稳定, fc = NaN Hz, Xf = 0.0936, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5020	采集数据: X = -0.18914, Y = 0.042692, Z = -0.036025	
主轴数据: 5020	t = 8.2 s, 稳定, fc = NaN Hz, Xf = 0.0956, n_new = NaN rpm, pass = 0.0002 s	
主轴数据: 4995	采集数据: X = -0.14938, Y = -0.11493, Z = 0.1446	
主轴数据: 4995	t = 8.3 s, 稳定, fc = NaN Hz, Xf = 0.0643, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5018	采集数据: X = 0.088741, Y = 0.031303, Z = -0.15175	
主轴数据: 5018	t = 8.4 s, 稳定, fc = NaN Hz, Xf = 0.0634, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5018	采集数据: X = -0.09556, Y = -0.0056054, Z = -0.18807	
主轴数据: 4995	t = 8.5 s, 稳定, fc = NaN Hz, Xf = 0.0642, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 4995	采集数据: X = 0.068101, Y = 0.21505, Z = 0.1006	
主轴数据: 5027	t = 8.6 s, 稳定, fc = NaN Hz, Xf = 0.0937, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5027	采集数据: X = 0.27901, Y = 0.095618, Z = -0.15291	
主轴数据: 4990	t = 8.7 s, 稳定, fc = NaN Hz, Xf = 0.0948, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4990	采集数据: X = -0.096839, Y = 0.26536, Z = 0.26623	
主轴数据: 4995	t = 8.8 s, 稳定, fc = NaN Hz, Xf = 0.0933, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 4995	采集数据: X = -0.26482, Y = 0.1712, Z = 0.021806	
主轴数据: 5002	t = 8.9 s, 稳定, fc = NaN Hz, Xf = 0.0898, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5002	采集数据: X = 0.16126, Y = -0.12212, Z = -0.3668	
主轴数据: 4992	t = 9.0 s, 稳定, fc = NaN Hz, Xf = 0.0866, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4992	采集数据: X = 0.042468, Y = -0.026739, Z = 0.18482	
主轴数据: 4997	t = 9.1 s, 稳定, fc = NaN Hz, Xf = 0.0894, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4997	采集数据: X = -0.19486, Y = 0.17455, Z = 0.084512	
主轴数据: 4992	t = 9.2 s, 稳定, fc = NaN Hz, Xf = 0.1536, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 4999	采集数据: X = -0.24948, Y = 0.28942, Z = 0.13546	
主轴数据: 4999	t = 9.3 s, 稳定, fc = NaN Hz, Xf = 0.1906, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5013	采集数据: X = -0.17088, Y = -0.056278, Z = 0.30913	
主轴数据: 5013	t = 9.4 s, 稳定, fc = NaN Hz, Xf = 0.1933, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5011	采集数据: X = -0.39962, Y = 0.022715, Z = 0.20426	
主轴数据: 5011	t = 9.5 s, 颤振, fc = 230.00 Hz, Xf = 0.2088, n_new = 6900.00 rpm, pass = 0.0039 s	
主轴数据: 5030	采集数据: X = 0.3606, Y = -0.10957, Z = -0.35998	
主轴数据: 5030	t = 9.6 s, 颤振, fc = 670.00 Hz, Xf = 0.2142, n_new = 5025.00 rpm, pass = 0.0016 s	
主轴数据: 5013	采集数据: X = 0.010381, Y = -0.14873, Z = 0.083233	
主轴数据: 5013	t = 9.7 s, 稳定, fc = NaN Hz, Xf = 0.0995, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4997	采集数据: X = 0.20692, Y = 0.084533, Z = -0.15699	
主轴数据: 4997	t = 9.8 s, 稳定, fc = NaN Hz, Xf = 0.0972, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5009	采集数据: X = -0.13812, Y = 0.14666, Z = 0.057821	
主轴数据: 5023	t = 9.9 s, 稳定, fc = NaN Hz, Xf = 0.0991, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5023	采集数据: X = -0.36218, Y = 0.23198, Z = 0.10164	
主轴数据: 5020	t = 10.0 s, 稳定, fc = NaN Hz, Xf = 0.0971, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5020	采集数据: X = 0.08594, Y = -0.14008, Z = 0.33893	
主轴数据: 5020	t = 10.1 s, 稳定, fc = NaN Hz, Xf = 0.0954, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5020	采集数据: X = 0.051905, Y = 0.13021, Z = -0.091175	
主轴数据: 5025	t = 10.2 s, 颤振, fc = 670.00 Hz, Xf = 0.2081, n_new = 5025.00 rpm, pass = 0.0021 s	
主轴数据: 5025	采集数据: X = 0.016044, Y = -0.54004, Z = -0.059913	
主轴数据: 5025	t = 10.3 s, 颤振, fc = 670.00 Hz, Xf = 0.2146, n_new = 5025.00 rpm, pass = 0.0016 s	
主轴数据: 5025	采集数据: X = -0.19115, Y = -0.054146, Z = 0.16849	
主轴数据: 5020	t = 10.4 s, 稳定, fc = NaN Hz, Xf = 0.0972, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5020	采集数据: X = -0.31152, Y = 0.19775, Z = -0.13974	
主轴数据: 5004	t = 10.5 s, 稳定, fc = NaN Hz, Xf = 0.0968, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5004	采集数据: X = -0.11437, Y = 0.11438, Z = -0.085203	
主轴数据: 5016	t = 10.6 s, 稳定, fc = NaN Hz, Xf = 0.0974, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5027	采集数据: X = -0.059881, Y = 0.077346, Z = -0.13852	
主轴数据: 5027	t = 10.7 s, 稳定, fc = NaN Hz, Xf = 0.0963, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4983	采集数据: X = 0.058116, Y = -0.061698, Z = 0.246	
主轴数据: 4983	t = 10.8 s, 稳定, fc = NaN Hz, Xf = 0.0965, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4976	采集数据: X = 0.21654, Y = 0.13789, Z = -0.082948	
主轴数据: 4976	t = 10.9 s, 稳定, fc = NaN Hz, Xf = 0.0988, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4997	采集数据: X = -0.17556, Y = -0.18881, Z = 0.21882	
主轴数据: 4997	t = 11.0 s, 稳定, fc = NaN Hz, Xf = 0.0986, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4978	采集数据: X = -0.055558, Y = 0.051218, Z = 0.069034	
主轴数据: 4978	t = 11.1 s, 稳定, fc = NaN Hz, Xf = 0.1000, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5025	采集数据: X = -0.20869, Y = 0.070769, Z = -0.21287	
主轴数据: 5025	t = 11.2 s, 稳定, fc = NaN Hz, Xf = 0.0978, n_new = NaN rpm, pass = 0.0005 s	
主轴数据: 5011	采集数据: X = -0.23468, Y = 0.098054, Z = -0.074782	
主轴数据: 5011	t = 11.3 s, 稳定, fc = NaN Hz, Xf = 0.0964, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4990	采集数据: X = 0.22415, Y = -0.21384, Z = -0.14955	
