开始记录数据...	开始记录数据...	
	采集数据: X = -0.12807, Y = 0.022289, Z = -0.18612	
主轴转速: 5023	t = 7.0 s, 稳定, fc = NaN Hz, Xf = 0.0866, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.026089, Y = 0.095069, Z = -0.14346	
主轴转速: 5023	t = 7.1 s, 稳定, fc = NaN Hz, Xf = 0.0875, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.015313, Y = 0.027953, Z = -0.068383	
主轴转速: 4999	t = 7.2 s, 稳定, fc = NaN Hz, Xf = 0.0864, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.014886, Y = -0.065596, Z = 0.22735	
主轴转速: 4999	t = 7.3 s, 稳定, fc = NaN Hz, Xf = 0.0869, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.057324, Y = 0.16426, Z = -0.069907	
主轴转速: 5004	t = 7.4 s, 稳定, fc = NaN Hz, Xf = 0.0494, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.26135, Y = -0.22011, Z = 0.084329	
主轴转速: 5004	t = 7.5 s, 稳定, fc = NaN Hz, Xf = 0.0507, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = -0.24674, Y = -0.092394, Z = 0.070496	
主轴转速: 5025	t = 7.6 s, 稳定, fc = NaN Hz, Xf = 0.0881, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.10658, Y = -0.063404, Z = -0.019998	
主轴转速: 5025	t = 7.7 s, 稳定, fc = NaN Hz, Xf = 0.0870, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.058054, Y = 0.21389, Z = -0.22018	
主轴转速: 5009	t = 7.8 s, 稳定, fc = NaN Hz, Xf = 0.0901, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.028342, Y = 0.0087681, Z = -0.21701	
主轴转速: 5009	t = 7.9 s, 稳定, fc = NaN Hz, Xf = 0.0603, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.04125, Y = 0.075397, Z = 0.29481	
主轴转速: 4999	t = 8.0 s, 稳定, fc = NaN Hz, Xf = 0.0612, n_new = NaN rpm, pass = 0.0003 s	
	采集数据: X = 0.19395, Y = 0.20951, Z = -0.17551	
主轴转速: 4971	t = 8.1 s, 稳定, fc = NaN Hz, Xf = 0.0891, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.11218, Y = -0.071747, Z = 0.23046	
主轴转速: 4973	t = 8.2 s, 稳定, fc = NaN Hz, Xf = 0.0881, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.20954, Y = -0.038555, Z = -0.040961	
主轴转速: 4973	t = 8.3 s, 稳定, fc = NaN Hz, Xf = 0.0895, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = -0.12296, Y = -0.12218, Z = -0.030723	
主轴转速: 4990	t = 8.4 s, 稳定, fc = NaN Hz, Xf = 0.0877, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.010381, Y = 0.15275, Z = -0.19861	
主轴转速: 4990	t = 8.5 s, 稳定, fc = NaN Hz, Xf = 0.0884, n_new = NaN rpm, pass = 0.0002 s	
	采集数据: X = 0.010199, Y = -0.041539, Z = -0.10507	
主轴转速: 4988	t = 8.6 s, 稳定, fc = NaN Hz, Xf = 0.0886, n_new = NaN rpm, pass = 0.0002 s	
