开始记录数据...	开始记录数据...	
主轴数据: 4976	采集数据: X = 0.033944, Y = -0.0049354, Z = 0.1658	
主轴数据: 4976	t = 10.6 s, 稳定, fc = NaN Hz, Xf = 0.0951, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 5002	采集数据: X = -0.38988, Y = -0.17845, Z = 0.16325	
主轴数据: 5002	t = 10.7 s, 稳定, fc = NaN Hz, Xf = 0.0925, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4945	采集数据: X = 0.40334, Y = -0.15726, Z = -0.10866	
主轴数据: 4945	t = 10.8 s, 稳定, fc = NaN Hz, Xf = 0.1360, n_new = NaN rpm, pass = 0.0004 s	
主轴数据: 5002	采集数据: X = -0.0011262, Y = 0.0052965, Z = -0.092271	
主轴数据: 5002	t = 10.9 s, 稳定, fc = NaN Hz, Xf = 0.0502, n_new = NaN rpm, pass = 0.0003 s	
主轴数据: 4962	采集数据: X = -0.30781, Y = -0.65375, Z = 0.32918	
主轴数据: 4962	t = 11.0 s, 稳定, fc = NaN Hz, Xf = 0.1133, n_new = NaN rpm, pass = 0.0002 s	
主轴数据: 4997	采集数据: X = -0.59665, Y = 0.48169, Z = 0.12028	
主轴数据: 4997	t = 11.1 s, 颤振, fc = 230.00 Hz, Xf = 0.3295, n_new = 6900.00 rpm, pass = 0.0053 s	
主轴数据: 5004	采集数据: X = 0.31341, Y = -0.062307, Z = 0.012909	
主轴数据: 5004	t = 11.2 s, 颤振, fc = 230.00 Hz, Xf = 0.3204, n_new = 6900.00 rpm, pass = 0.0019 s	
主轴数据: 4990	采集数据: X = -0.626, Y = 0.22108, Z = -0.20434	
主轴数据: 4990	t = 11.3 s, 颤振, fc = 240.00 Hz, Xf = 0.3189, n_new = 7200.00 rpm, pass = 0.0015 s	
主轴数据: 5027	采集数据: X = 0.77078, Y = -0.39137, Z = 0.024061	
主轴数据: 5027	t = 11.4 s, 颤振, fc = 240.00 Hz, Xf = 0.3210, n_new = 7200.00 rpm, pass = 0.0013 s	
主轴数据: 5020	采集数据: X = -0.021767, Y = 0.66105, Z = -0.24377	
主轴数据: 5020	t = 11.5 s, 颤振, fc = 240.00 Hz, Xf = 0.3213, n_new = 7200.00 rpm, pass = 0.0061 s	
主轴数据: 5011	采集数据: X = 0.70192, Y = -0.39886, Z = 0.46837	
主轴数据: 4988	t = 11.6 s, 颤振, fc = 240.00 Hz, Xf = 0.3348, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 4988	采集数据: X = -0.23852, Y = 0.2712, Z = -0.24017	
主轴数据: 4995	t = 11.7 s, 颤振, fc = 240.00 Hz, Xf = 0.3135, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 5025	采集数据: X = -0.83581, Y = 0.086543, Z = 0.20645	
主轴数据: 5025	t = 11.8 s, 颤振, fc = 240.00 Hz, Xf = 0.3446, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 5006	采集数据: X = 0.67854, Y = -0.75643, Z = 0.2886	
主轴数据: 5006	t = 11.9 s, 颤振, fc = 240.00 Hz, Xf = 0.3332, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 5002	采集数据: X = -0.30123, Y = 0.76313, Z = -0.026214	
主轴数据: 5002	t = 12.0 s, 颤振, fc = 240.00 Hz, Xf = 0.3498, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 4988	采集数据: X = 0.7611, Y = -0.38808, Z = -0.36028	
主轴数据: 4988	t = 12.1 s, 颤振, fc = 240.00 Hz, Xf = 0.3549, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 5018	采集数据: X = 0.26921, Y = -0.40788, Z = 0.15599	
主轴数据: 5018	t = 12.2 s, 颤振, fc = 240.00 Hz, Xf = 0.3288, n_new = 7200.00 rpm, pass = 0.0002 s	
主轴数据: 5016	采集数据: X = -0.49814, Y = -0.052745, Z = -0.27363	
主轴数据: 5016	t = 12.3 s, 颤振, fc = 240.00 Hz, Xf = 0.3548, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 5027	采集数据: X = 0.42915, Y = -0.22919, Z = 0.18524	
主轴数据: 5027	t = 12.4 s, 颤振, fc = 240.00 Hz, Xf = 0.3386, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 5004	采集数据: X = -0.10366, Y = 0.4418, Z = 0.10023	
主轴数据: 5004	t = 12.5 s, 颤振, fc = 240.00 Hz, Xf = 0.3688, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 5011	采集数据: X = -0.40669, Y = -0.049213, Z = 0.10243	
主轴数据: 5011	t = 12.6 s, 颤振, fc = 240.00 Hz, Xf = 0.3438, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 5018	采集数据: X = 0.035588, Y = -0.46708, Z = 0.31316	
主轴数据: 5018	t = 12.7 s, 颤振, fc = 240.00 Hz, Xf = 0.3558, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 4985	采集数据: X = -0.56663, Y = 0.50398, Z = -0.24858	
主轴数据: 5032	t = 12.8 s, 颤振, fc = 240.00 Hz, Xf = 0.3458, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 5032	采集数据: X = 0.29003, Y = -0.15854, Z = 0.12644	
主轴数据: 4978	t = 12.9 s, 颤振, fc = 240.00 Hz, Xf = 0.3575, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 4978	采集数据: X = 0.54173, Y = -0.062855, Z = -0.10348	
主轴数据: 4966	t = 13.0 s, 颤振, fc = 240.00 Hz, Xf = 0.3634, n_new = 7200.00 rpm, pass = 0.0003 s	
主轴数据: 4966	采集数据: X = -0.28918, Y = 1.1116, Z = 0.16294	
