开始记录数据...	开始记录数据...	
主轴数据: 1001	采集数据: X = 0.096047, Y = -0.014802, Z = -0.068566	
主轴数据: 994	t = 80.5 s, 稳定, fc = NaN Hz, Xf = 0.0338, n_new = NaN rpm, pass = 0.0101 s	
主轴数据: 1001	采集数据: X = -0.0337, Y = 0.027527, Z = 0.02857	
主轴数据: 1001	t = 80.6 s, 稳定, fc = NaN Hz, Xf = 0.0343, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 994	采集数据: X = 0.069684, Y = 0.064435, Z = 0.026438	
主轴数据: 994	t = 80.7 s, 稳定, fc = NaN Hz, Xf = 0.0379, n_new = NaN rpm, pass = 0.0011 s	
主轴数据: 989	采集数据: X = 0.15109, Y = -0.039894, Z = -0.014696	
主轴数据: 989	t = 80.8 s, 稳定, fc = NaN Hz, Xf = 0.0339, n_new = NaN rpm, pass = 0.0010 s	
主轴数据: 998	采集数据: X = 0.0488, Y = 0.029476, Z = -0.0046413	
主轴数据: 996	t = 80.9 s, 稳定, fc = NaN Hz, Xf = 0.0348, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 996	采集数据: X = -0.046243, Y = -0.012183, Z = -0.037609	
主轴数据: 996	t = 81.0 s, 稳定, fc = NaN Hz, Xf = 0.0377, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 996	采集数据: X = 0.042468, Y = 0.016929, Z = -0.034867	
主轴数据: 1010	t = 81.1 s, 稳定, fc = NaN Hz, Xf = 0.0373, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 1010	采集数据: X = 0.091238, Y = 0.031851, Z = 0.09798	
主轴数据: 996	t = 81.2 s, 稳定, fc = NaN Hz, Xf = 0.0378, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 996	采集数据: X = -0.039971, Y = 0.0083417, Z = 0.0048042	
主轴数据: 989	t = 81.3 s, 稳定, fc = NaN Hz, Xf = 0.0371, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 989	采集数据: X = -0.036744, Y = 0.038611, Z = -0.019449	
主轴数据: 989	t = 81.4 s, 稳定, fc = NaN Hz, Xf = 0.0372, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 989	采集数据: X = 0.056776, Y = 0.066201, Z = 0.025767	
主轴数据: 989	t = 81.5 s, 稳定, fc = NaN Hz, Xf = 0.0380, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 996	采集数据: X = -0.0027093, Y = 0.0060883, Z = -0.065458	
主轴数据: 996	t = 81.6 s, 稳定, fc = NaN Hz, Xf = 0.0372, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 1001	采集数据: X = -0.055193, Y = 0.036845, Z = 0.062209	
主轴数据: 1001	t = 81.7 s, 稳定, fc = NaN Hz, Xf = 0.0385, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 998	采集数据: X = 0.013852, Y = -0.019431, Z = -0.063752	
主轴数据: 998	t = 81.8 s, 稳定, fc = NaN Hz, Xf = 0.0402, n_new = NaN rpm, pass = 0.0016 s	
主轴数据: 989	采集数据: X = 0.010138, Y = 0.061268, Z = -0.015184	
主轴数据: 1001	t = 81.9 s, 稳定, fc = NaN Hz, Xf = 0.0399, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 1001	采集数据: X = -0.078573, Y = 0.049087, Z = 0.075432	
主轴数据: 994	t = 82.0 s, 稳定, fc = NaN Hz, Xf = 0.0378, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 994	采集数据: X = -0.028342, Y = -0.007737, Z = 0.020283	
主轴数据: 994	t = 82.1 s, 稳定, fc = NaN Hz, Xf = 0.0375, n_new = NaN rpm, pass = 0.0016 s	
主轴数据: 994	采集数据: X = 0.034066, Y = 0.023263, Z = -0.023411	
主轴数据: 989	t = 82.2 s, 稳定, fc = NaN Hz, Xf = 0.0375, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 996	采集数据: X = -0.088254, Y = -0.01468, Z = 0.061416	
主轴数据: 996	t = 82.3 s, 稳定, fc = NaN Hz, Xf = 0.0377, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 991	采集数据: X = -0.055132, Y = 0.084533, Z = 0.049899	
主轴数据: 991	t = 82.4 s, 稳定, fc = NaN Hz, Xf = 0.0376, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 998	采集数据: X = 0.04332, Y = 0.023141, Z = 0.050569	
主轴数据: 996	t = 82.5 s, 稳定, fc = NaN Hz, Xf = 0.0378, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 996	采集数据: X = 0.0041708, Y = -0.021075, Z = 0.0033417	
主轴数据: 994	t = 82.6 s, 稳定, fc = NaN Hz, Xf = 0.0372, n_new = NaN rpm, pass = 0.0012 s	
主轴数据: 994	采集数据: X = 0.033152, Y = 0.12144, Z = 0.0018182	
主轴数据: 1003	t = 82.7 s, 稳定, fc = NaN Hz, Xf = 0.0379, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 1001	采集数据: X = 0.04813, Y = 0.070342, Z = -0.019449	
主轴数据: 1001	t = 82.8 s, 稳定, fc = NaN Hz, Xf = 0.0377, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 1001	采集数据: X = -0.054036, Y = -0.09008, Z = -0.056927	
主轴数据: 1001	t = 82.9 s, 稳定, fc = NaN Hz, Xf = 0.0378, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 991	采集数据: X = 0.03504, Y = 0.0020077, Z = -0.029383	
主轴数据: 991	t = 83.0 s, 稳定, fc = NaN Hz, Xf = 0.0378, n_new = NaN rpm, pass = 0.0009 s	
主轴数据: 998	采集数据: X = 0.074494, Y = 0.021193, Z = 0.040575	
主轴数据: 998	t = 83.1 s, 稳定, fc = NaN Hz, Xf = 0.0373, n_new = NaN rpm, pass = 0.0017 s	
主轴数据: 994	采集数据: X = -0.058602, Y = -0.01602, Z = 0.013762	
主轴数据: 994	t = 83.2 s, 稳定, fc = NaN Hz, Xf = 0.0364, n_new = NaN rpm, pass = 0.0011 s	
主轴数据: 996	采集数据: X = 0.014278, Y = 0.04257, Z = 0.062452	
主轴数据: 989	t = 83.3 s, 稳定, fc = NaN Hz, Xf = 0.0362, n_new = NaN rpm, pass = 0.0010 s	
主轴数据: 989	采集数据: X = 0.012512, Y = -0.062673, Z = 0.015895	
主轴数据: 994	t = 83.4 s, 稳定, fc = NaN Hz, Xf = 0.0379, n_new = NaN rpm, pass = 0.0013 s	
主轴数据: 994	采集数据: X = 0.0067889, Y = 0.050792, Z = 0.049472	
主轴数据: 996	t = 83.5 s, 稳定, fc = NaN Hz, Xf = 0.0374, n_new = NaN rpm, pass = 0.0012 s	
主轴数据: 996	采集数据: X = 0.023959, Y = 0.098846, Z = 0.083111	
主轴数据: 994	t = 83.6 s, 稳定, fc = NaN Hz, Xf = 0.0384, n_new = NaN rpm, pass = 0.0012 s	
主轴数据: 996	采集数据: X = -0.0089196, Y = -0.0020729, Z = -0.0012897	
主轴数据: 996	t = 83.7 s, 稳定, fc = NaN Hz, Xf = 0.0375, n_new = NaN rpm, pass = 0.0010 s	
主轴数据: 991	采集数据: X = 0.0098941, Y = 0.033312, Z = 0.070801	
主轴数据: 991	t = 83.8 s, 稳定, fc = NaN Hz, Xf = 0.0361, n_new = NaN rpm, pass = 0.0011 s	
主轴数据: 991	采集数据: X = 0.052697, Y = 0.089649, Z = 0.04088	
主轴数据: 991	t = 83.9 s, 稳定, fc = NaN Hz, Xf = 0.0365, n_new = NaN rpm, pass = 0.0011 s	
主轴数据: 998	采集数据: X = -0.014156, Y = 0.065714, Z = -0.010979	
主轴数据: 998	t = 84.0 s, 稳定, fc = NaN Hz, Xf = 0.0367, n_new = NaN rpm, pass = 0.0018 s	
主轴数据: 1001	采集数据: X = 0.0033184, Y = 0.043362, Z = 0.050021	
主轴数据: 1001	t = 84.1 s, 稳定, fc = NaN Hz, Xf = 0.0378, n_new = NaN rpm, pass = 0.0011 s	
主轴数据: 996	采集数据: X = 0.060125, Y = 0.03313, Z = -0.042302	
主轴数据: 998	t = 84.2 s, 稳定, fc = NaN Hz, Xf = 0.0381, n_new = NaN rpm, pass = 0.0010 s	
主轴数据: 998	采集数据: X = 0.03778, Y = 0.056273, Z = -0.00061936	
主轴数据: 991	t = 84.3 s, 稳定, fc = NaN Hz, Xf = 0.0368, n_new = NaN rpm, pass = 0.0012 s	
主轴数据: 991	采集数据: X = 0.014095, Y = 0.087944, Z = 0.037589	
主轴数据: 991	t = 84.4 s, 稳定, fc = NaN Hz, Xf = 0.0376, n_new = NaN rpm, pass = 0.0017 s	
主轴数据: 991	采集数据: X = 0.018723, Y = 0.024786, Z = -0.063325	
主轴数据: 989	t = 84.5 s, 稳定, fc = NaN Hz, Xf = 0.0383, n_new = NaN rpm, pass = 0.0017 s	
主轴数据: 989	采集数据: X = 0.023106, Y = 0.018208, Z = 0.016748	
	t = 84.6 s, 稳定, fc = NaN Hz, Xf = 0.0373, n_new = NaN rpm, pass = 0.0020 s	
	采集数据: X = 0.040946, Y = 0.090563, Z = -0.010674	
	t = 84.7 s, 稳定, fc = NaN Hz, Xf = 0.0378, n_new = NaN rpm, pass = 0.0011 s	
	采集数据: X = -0.018235, Y = 0.064191, Z = -0.0095774	
	t = 84.8 s, 稳定, fc = NaN Hz, Xf = 0.0379, n_new = NaN rpm, pass = 0.0012 s	
	采集数据: X = -0.0042314, Y = -0.0072498, Z = 0.055505	
	t = 84.9 s, 稳定, fc = NaN Hz, Xf = 0.0377, n_new = NaN rpm, pass = 0.0019 s	
	采集数据: X = 0.076686, Y = 0.069672, Z = 0.053677	
	t = 85.0 s, 稳定, fc = NaN Hz, Xf = 0.0380, n_new = NaN rpm, pass = 0.0018 s	
	采集数据: X = 0.12332, Y = 0.063643, Z = 0.0037073	
	t = 85.1 s, 稳定, fc = NaN Hz, Xf = 0.0373, n_new = NaN rpm, pass = 0.0009 s	
	采集数据: X = -0.051235, Y = 0.021314, Z = 0.0069371	
	t = 85.2 s, 稳定, fc = NaN Hz, Xf = 0.0375, n_new = NaN rpm, pass = 0.0019 s	
	采集数据: X = 0.018479, Y = 0.093973, Z = 0.025036	
	t = 85.3 s, 稳定, fc = NaN Hz, Xf = 0.0377, n_new = NaN rpm, pass = 0.0017 s	
	采集数据: X = 0.079487, Y = -0.015228, Z = -0.087092	
	t = 85.4 s, 稳定, fc = NaN Hz, Xf = 0.0374, n_new = NaN rpm, pass = 0.0015 s	
	采集数据: X = 0.017748, Y = -0.044401, Z = -0.067469	
	t = 85.5 s, 稳定, fc = NaN Hz, Xf = 0.0370, n_new = NaN rpm, pass = 0.0011 s	
	采集数据: X = 0.030108, Y = 0.14373, Z = 0.016626	
	t = 85.6 s, 稳定, fc = NaN Hz, Xf = 0.0375, n_new = NaN rpm, pass = 0.0010 s	
	采集数据: X = -0.028464, Y = -0.077899, Z = -0.062229	
	t = 85.7 s, 稳定, fc = NaN Hz, Xf = 0.0373, n_new = NaN rpm, pass = 0.0011 s	
